color,lat,long,date
#030403,49.263860,-123.149219,276_SatOct3
#0F0409,49.288830,-123.117691,276_SatOct3
#1C422C,49.286846,-123.109235,276_SatOct3
#570721,49.265766,-123.100643,276_SatOct3
#030402,49.286820,-123.114495,276_SatOct3
#11070B,49.287029,-123.115623,276_SatOct3
#020403,49.279989,-123.103934,276_SatOct3
#EBDDDD,49.284042,-123.107463,276_SatOct3
#1A0913,49.281704,-123.104149,276_SatOct3
#DADEDD,49.250000,-123.100000,276_SatOct3
#D195AF,49.266361,-123.138596,276_SatOct3
#080604,49.288128,-123.114868,276_SatOct3
#040202,49.282219,-123.134659,276_SatOct3
#060506,49.259029,-123.139160,276_SatOct3
#F8F3F5,49.287290,-123.129217,276_SatOct3
#E0D4DA,49.275112,-123.122772,276_SatOct3
#DAE0D6,49.242222,-123.115000,276_SatOct3
#020402,49.278038,-123.109234,276_SatOct3
#030102,49.278038,-123.109234,276_SatOct3
#1D1B19,49.279270,-123.129776,276_SatOct3
#010202,49.278038,-123.109234,276_SatOct3
#DBD7DA,49.292621,-123.127461,276_SatOct3
#050303,49.278038,-123.109234,276_SatOct3
#1B0C11,49.270655,-123.106396,276_SatOct3
#151315,49.250000,-123.100000,276_SatOct3
#2D1920,49.275814,-123.099678,276_SatOct3
#030202,49.280404,-123.121227,276_SatOct3
#030302,49.260307,-123.096275,276_SatOct3
#070101,49.280509,-123.138430,276_SatOct3
#170C08,49.254272,-123.101141,276_SatOct3
#A24F78,49.280371,-123.129529,276_SatOct3
#010002,49.280720,-123.121391,276_SatOct3
#020102,49.288033,-123.114475,276_SatOct3
#FDFAFC,49.285930,-123.112890,276_SatOct3
#010202,49.288128,-123.114868,276_SatOct3
#B1AFB0,49.280067,-123.103790,276_SatOct3
#FC0187,49.285079,-123.113636,276_SatOct3
#020302,49.288033,-123.114475,276_SatOct3
#1E1F1D,49.278038,-123.109234,276_SatOct3
#190B11,49.250000,-123.100000,276_SatOct3
#7C2952,49.252683,-123.081086,276_SatOct3
#050201,49.250000,-123.100000,276_SatOct3
#000201,49.280720,-123.121391,276_SatOct3
#07421B,49.279551,-123.103416,276_SatOct3
#060706,49.250000,-123.100000,276_SatOct3
#260303,49.278038,-123.109234,276_SatOct3
#020202,49.280404,-123.121227,276_SatOct3
