color,lat,long,date
#120308,49.250000,-123.100000,293_TueOct20
#C8C1C9,49.250000,-123.100000,293_TueOct20
#CBD2D5,49.264019,-123.105309,293_TueOct20
#678F81,49.300000,-123.140000,293_TueOct20
#0E0708,49.291080,-123.136429,293_TueOct20
#051D0A,49.250000,-123.100000,293_TueOct20
#5D0105,49.277577,-123.098100,293_TueOct20
#000000,49.280000,-123.099444,293_TueOct20
#150A0C,49.281678,-123.133362,293_TueOct20
#FDFCFD,49.285610,-123.126968,293_TueOct20
#5A6967,49.268013,-123.154892,293_TueOct20
#203C2A,49.300000,-123.140000,293_TueOct20
#720909,49.250000,-123.100000,293_TueOct20
#75786F,49.289842,-123.114195,293_TueOct20
#010201,49.250000,-123.100000,293_TueOct20
#090807,49.280404,-123.121227,293_TueOct20
#56091B,49.250000,-123.100000,293_TueOct20
#617F72,49.272697,-123.152794,293_TueOct20
#050303,49.280132,-123.109833,293_TueOct20
#0C7617,49.270931,-123.115402,293_TueOct20
#200107,49.273361,-123.119415,293_TueOct20
#040101,49.281846,-123.114606,293_TueOct20
#63535C,49.250000,-123.100000,293_TueOct20
#656D69,49.288128,-123.114868,293_TueOct20
#190410,49.287441,-123.141958,293_TueOct20
#030302,49.284679,-123.111893,293_TueOct20
#050304,49.278038,-123.109234,293_TueOct20
#010101,49.282219,-123.134659,293_TueOct20
#94A39C,49.270865,-123.151236,293_TueOct20
#020101,49.271389,-123.135000,293_TueOct20
#0B0405,49.282673,-123.109285,293_TueOct20
#5C5A5C,49.250000,-123.100000,293_TueOct20
#571125,49.258572,-123.137995,293_TueOct20
#040504,49.250000,-123.100000,293_TueOct20
#14080D,49.300000,-123.140000,293_TueOct20
#F7E4F0,49.290731,-123.136283,293_TueOct20
#130C11,49.250000,-123.100000,293_TueOct20
#16090F,49.258572,-123.137995,293_TueOct20
#060401,49.278199,-123.110298,293_TueOct20
#0E0B0D,49.250000,-123.100000,293_TueOct20
#030203,49.287290,-123.129217,293_TueOct20
#090103,49.250000,-123.100000,293_TueOct20
#110D10,49.267151,-123.069663,293_TueOct20
#090909,49.260307,-123.096275,293_TueOct20
