color,lat,long,date
#900615,49.250000,-123.100000,294_WedOct21
#110B0C,49.267101,-123.103561,294_WedOct21
#0D0A09,49.250000,-123.100000,294_WedOct21
#E6D7CC,49.280491,-123.120567,294_WedOct21
#0A1110,49.250000,-123.100000,294_WedOct21
#0C0F0B,49.287441,-123.141958,294_WedOct21
#9F0225,49.270556,-123.133333,294_WedOct21
#020303,49.284439,-123.110268,294_WedOct21
#180209,49.264469,-123.088422,294_WedOct21
#110A06,49.269223,-123.108944,294_WedOct21
#0F0608,49.258888,-123.070023,294_WedOct21
#ABEDD3,49.250000,-123.100000,294_WedOct21
#C09CAD,49.282501,-123.109139,294_WedOct21
#020102,49.283327,-123.119291,294_WedOct21
#022615,49.250000,-123.100000,294_WedOct21
#030303,49.280491,-123.120567,294_WedOct21
#060504,49.304062,-123.156487,294_WedOct21
#C2B8AA,49.264469,-123.088422,294_WedOct21
#D7D7D7,49.250000,-123.100000,294_WedOct21
#98658D,49.288949,-123.118181,294_WedOct21
#0E070A,49.284063,-123.108673,294_WedOct21
#070504,49.250000,-123.100000,294_WedOct21
#1A140B,49.265766,-123.100643,294_WedOct21
#030102,49.280491,-123.120567,294_WedOct21
#050504,49.280491,-123.120567,294_WedOct21
#020001,49.263250,-123.106190,294_WedOct21
#1B1317,49.286477,-123.118190,294_WedOct21
#0A660C,49.280414,-123.126281,294_WedOct21
#040404,49.250000,-123.100000,294_WedOct21
#181504,49.283484,-123.104265,294_WedOct21
#595959,49.282556,-123.107694,294_WedOct21
#C77BA5,49.279573,-123.138529,294_WedOct21
#010100,49.279270,-123.129776,294_WedOct21
#030404,49.250000,-123.100000,294_WedOct21
#011B07,49.282854,-123.106375,294_WedOct21
#BD669D,49.250000,-123.100000,294_WedOct21
#000101,49.281271,-123.098454,294_WedOct21
#BFA8B5,49.264469,-123.088422,294_WedOct21
#050302,49.281929,-123.100098,294_WedOct21
#1D050D,49.257629,-123.100838,294_WedOct21
#010101,49.280491,-123.120567,294_WedOct21
#040101,49.276809,-123.112154,294_WedOct21
#C2D4DA,49.247097,-123.101395,294_WedOct21
#050400,49.280659,-123.100861,294_WedOct21
#000201,49.281271,-123.098454,294_WedOct21
#030102,49.282001,-123.107201,294_WedOct21
#051C0D,49.279677,-123.119916,294_WedOct21
#120A0D,49.284063,-123.108673,294_WedOct21
#010301,49.280720,-123.121391,294_WedOct21
#030402,49.286240,-123.116974,294_WedOct21
#B8BAB8,49.250000,-123.100000,294_WedOct21
#030101,49.279610,-123.113098,294_WedOct21
#192022,49.272451,-123.123960,294_WedOct21
#020302,49.279828,-123.121642,294_WedOct21
#010201,49.281271,-123.098454,294_WedOct21
#080607,49.269844,-123.135239,294_WedOct21
#0F0509,49.284063,-123.108673,294_WedOct21
#060808,49.278038,-123.109234,294_WedOct21
#060506,49.289257,-123.122330,294_WedOct21
