color,lat,long,date
#AECAB9,49.250000,-123.100000,295_ThuOct22
#705D6C,49.283921,-123.142666,295_ThuOct22
#050102,49.283909,-123.118500,295_ThuOct22
#715D66,49.283909,-123.116691,295_ThuOct22
#010000,49.281929,-123.100098,295_ThuOct22
#010101,49.278721,-123.108672,295_ThuOct22
#010001,49.273353,-123.103411,295_ThuOct22
#040203,49.250000,-123.100000,295_ThuOct22
#DF97CF,49.281723,-123.120350,295_ThuOct22
#A68298,49.250000,-123.100000,295_ThuOct22
#090E04,49.278721,-123.108672,295_ThuOct22
#140B08,49.281446,-123.129828,295_ThuOct22
#010101,49.281368,-123.133431,295_ThuOct22
#040204,49.284042,-123.107463,295_ThuOct22
#020102,49.284042,-123.107463,295_ThuOct22
#1C0910,49.242222,-123.115000,295_ThuOct22
#030303,49.284792,-123.115374,295_ThuOct22
#040304,49.300000,-123.140000,295_ThuOct22
#DD7998,49.250000,-123.100000,295_ThuOct22
#0D0A0A,49.300000,-123.140000,295_ThuOct22
#161616,49.260307,-123.096275,295_ThuOct22
#030200,49.278957,-123.123207,295_ThuOct22
#101109,49.277889,-123.130341,295_ThuOct22
#020202,49.278410,-123.107647,295_ThuOct22
#3F232E,49.264801,-123.133226,295_ThuOct22
#14090A,49.278912,-123.122932,295_ThuOct22
#010401,49.279541,-123.129646,295_ThuOct22
#050505,49.284042,-123.107463,295_ThuOct22
#60545A,49.250000,-123.100000,295_ThuOct22
#010501,49.250000,-123.100000,295_ThuOct22
#0E0E0D,49.284042,-123.107463,295_ThuOct22
#8A5571,49.282636,-123.115015,295_ThuOct22
#A54C70,49.266510,-123.069351,295_ThuOct22
#E4C9D9,49.250000,-123.100000,295_ThuOct22
#010101,49.267204,-123.091989,295_ThuOct22
#0B0206,49.282188,-123.108612,295_ThuOct22
#010101,49.285856,-123.127205,295_ThuOct22
#060102,49.262832,-123.093160,295_ThuOct22
#966274,49.275282,-123.121018,295_ThuOct22
#E3E8E1,49.250000,-123.100000,295_ThuOct22
#FCF7FC,49.262974,-123.098572,295_ThuOct22
#A7A7A7,49.279677,-123.119916,295_ThuOct22
#D1B7CB,49.250000,-123.100000,295_ThuOct22
#100F06,49.278038,-123.109234,295_ThuOct22
#020101,49.278038,-123.109234,295_ThuOct22
#020200,49.279551,-123.103416,295_ThuOct22
#A65882,49.269859,-123.137917,295_ThuOct22
#140813,49.250000,-123.100000,295_ThuOct22
#020200,49.279551,-123.103416,295_ThuOct22
#EEEBEB,49.260918,-123.100838,295_ThuOct22
#030303,49.279549,-123.122833,295_ThuOct22
#000200,49.280100,-123.112800,295_ThuOct22
#D8C3C9,49.269859,-123.137917,295_ThuOct22
#16050B,49.279519,-123.115608,295_ThuOct22
#0A0707,49.288910,-123.131203,295_ThuOct22
#040203,49.264240,-123.101410,295_ThuOct22
#8F7D8F,49.282834,-123.120458,295_ThuOct22
#BB81A8,49.288746,-123.131500,295_ThuOct22
#040301,49.290365,-123.133573,295_ThuOct22
#3E4842,49.277539,-123.147470,295_ThuOct22
#D0BCC3,49.284572,-123.124657,295_ThuOct22
#070A04,49.284159,-123.123984,295_ThuOct22
#9F6D78,49.282219,-123.134659,295_ThuOct22
#A46C92,49.279677,-123.119916,295_ThuOct22
#84968C,49.218710,-123.102690,295_ThuOct22
#090506,49.264240,-123.101410,295_ThuOct22
#000000,49.281213,-123.132479,295_ThuOct22
#040203,49.280704,-123.117167,295_ThuOct22
#030202,49.248501,-123.101471,295_ThuOct22
#020101,49.281929,-123.100098,295_ThuOct22
#020101,49.284042,-123.107463,295_ThuOct22
#060401,49.282751,-123.114420,295_ThuOct22
#1B0D16,49.275604,-123.121522,295_ThuOct22
#080305,49.280100,-123.112800,295_ThuOct22
#0F0304,49.280628,-123.131287,295_ThuOct22
#856B7D,49.279519,-123.115608,295_ThuOct22
#8C6475,49.282280,-123.111750,295_ThuOct22
#B7668D,49.291080,-123.136429,295_ThuOct22
#020201,49.249290,-123.089996,295_ThuOct22
#0A040A,49.250000,-123.100000,295_ThuOct22
#020101,49.272200,-123.134013,295_ThuOct22
#050203,49.282280,-123.111750,295_ThuOct22
#090707,49.285106,-123.102149,295_ThuOct22
#0E0106,49.250000,-123.100000,295_ThuOct22
#030304,49.271856,-123.135008,295_ThuOct22
#090605,49.284530,-123.123130,295_ThuOct22
#010101,49.264240,-123.101410,295_ThuOct22
#B7BEB9,49.272005,-123.114896,295_ThuOct22
#080507,49.254349,-123.114761,295_ThuOct22
#1E0F17,49.288563,-123.138597,295_ThuOct22
#BE99B2,49.282124,-123.120682,295_ThuOct22
#1D0808,49.284530,-123.123130,295_ThuOct22
#65CAA3,49.250000,-123.100000,295_ThuOct22
#020102,49.282040,-123.118492,295_ThuOct22
#261822,49.283691,-123.103455,295_ThuOct22
#07110C,49.269760,-123.143667,295_ThuOct22
#040502,49.288830,-123.117691,295_ThuOct22
#B8A9B3,49.250000,-123.100000,295_ThuOct22
#ECE7E8,49.250000,-123.100000,295_ThuOct22
#050504,49.250000,-123.100000,295_ThuOct22
#020000,49.276944,-123.121505,295_ThuOct22
#030302,49.250000,-123.100000,295_ThuOct22
#010101,49.285961,-123.124161,295_ThuOct22
#010101,49.250000,-123.100000,295_ThuOct22
#D9CEBB,49.279677,-123.119916,295_ThuOct22
#070203,49.285961,-123.124161,295_ThuOct22
#040205,49.250000,-123.100000,295_ThuOct22
#140A0A,49.279923,-123.126687,295_ThuOct22
#FCF5FA,49.278604,-123.125696,295_ThuOct22
#180307,49.250000,-123.100000,295_ThuOct22
#211A1E,49.283691,-123.106049,295_ThuOct22
#010101,49.280189,-123.121010,295_ThuOct22
#0F0B0A,49.250000,-123.100000,295_ThuOct22
#DBD7D8,49.280189,-123.121010,295_ThuOct22
#000000,49.250000,-123.100000,295_ThuOct22
#0B0411,49.279573,-123.138529,295_ThuOct22
#EEEEED,49.271856,-123.135008,295_ThuOct22
#120307,49.291870,-123.134582,295_ThuOct22
#1A0205,49.249741,-123.115173,295_ThuOct22
#181013,49.250000,-123.100000,295_ThuOct22
#C4DFDE,49.242222,-123.115000,295_ThuOct22
#070302,49.272697,-123.152794,295_ThuOct22
#AD788D,49.282280,-123.111750,295_ThuOct22
#B8D4CB,49.250000,-123.100000,295_ThuOct22
#100506,49.276375,-123.120155,295_ThuOct22
#0D1709,49.250000,-123.100000,295_ThuOct22
#080B0A,49.282896,-123.089551,295_ThuOct22
#1C0305,49.272451,-123.123960,295_ThuOct22
#F3F3F3,49.250000,-123.100000,295_ThuOct22
#BEF0C2,49.250000,-123.100000,295_ThuOct22
#040202,49.269211,-123.102162,295_ThuOct22
#020101,49.250000,-123.100000,295_ThuOct22
#F6EBF1,49.285420,-123.126694,295_ThuOct22
#9D6F85,49.285420,-123.126694,295_ThuOct22
#1F090C,49.250000,-123.100000,295_ThuOct22
#CBD2C8,49.249939,-123.100609,295_ThuOct22
#6CCF9A,49.283342,-123.142372,295_ThuOct22
#010101,49.274311,-123.123817,295_ThuOct22
#19060D,49.272625,-123.135620,295_ThuOct22
#211E13,49.279720,-123.121712,295_ThuOct22
#82817D,49.278002,-123.147068,295_ThuOct22
#70101B,49.250000,-123.100000,295_ThuOct22
#1A0D08,49.250000,-123.100000,295_ThuOct22
#020303,49.283379,-123.102486,295_ThuOct22
#84908D,49.242100,-123.113800,295_ThuOct22
#090D0E,49.281410,-123.133690,295_ThuOct22
#0D0605,49.279828,-123.121642,295_ThuOct22
#1E060F,49.272625,-123.135620,295_ThuOct22
#040603,49.250000,-123.100000,295_ThuOct22
#1A1D1D,49.250000,-123.100000,295_ThuOct22
#010104,49.250000,-123.100000,295_ThuOct22
#AAA19C,49.250000,-123.100000,295_ThuOct22
#000100,49.281312,-123.087722,295_ThuOct22
#353134,49.250000,-123.100000,295_ThuOct22
#FBF9FA,49.250000,-123.100000,295_ThuOct22
#030203,49.284599,-123.108887,295_ThuOct22
#2C0416,49.250000,-123.100000,295_ThuOct22
#934567,49.257313,-123.136675,295_ThuOct22
#030703,49.284962,-123.124396,295_ThuOct22
#CCCCCC,49.250000,-123.100000,295_ThuOct22
#9C7A8D,49.250000,-123.100000,295_ThuOct22
#69AC85,49.278307,-123.116641,295_ThuOct22
