color,lat,long,date
#080D04,49.278038,-123.109234,298_SunOct25
#010101,49.298958,-123.121335,298_SunOct25
#C8C5D7,49.272697,-123.152794,298_SunOct25
#030202,49.278038,-123.109234,298_SunOct25
#040403,49.276524,-123.100084,298_SunOct25
#010101,49.283371,-123.112343,298_SunOct25
#050102,49.287431,-123.112809,298_SunOct25
#040604,49.272079,-123.120377,298_SunOct25
#040203,49.278038,-123.109234,298_SunOct25
#050605,49.300000,-123.140000,298_SunOct25
#040203,49.272442,-123.095711,298_SunOct25
#88908A,49.272697,-123.152794,298_SunOct25
#0A150E,49.281342,-123.119797,298_SunOct25
#96758C,49.281620,-123.077362,298_SunOct25
#090D0A,49.280371,-123.129529,298_SunOct25
#590723,49.250000,-123.100000,298_SunOct25
#020201,49.283484,-123.104265,298_SunOct25
#0F0408,49.287431,-123.112809,298_SunOct25
#660D21,49.279538,-123.100612,298_SunOct25
#FDFBFC,49.284042,-123.107463,298_SunOct25
#615D5F,49.279164,-123.116256,298_SunOct25
#040503,49.277950,-123.113739,298_SunOct25
#0C0508,49.282574,-123.111343,298_SunOct25
#C9A1B7,49.281379,-123.071924,298_SunOct25
#E1C0DB,49.286451,-123.124738,298_SunOct25
#E689C1,49.290610,-123.137140,298_SunOct25
#020101,49.280339,-123.124896,298_SunOct25
#030302,49.279677,-123.119916,298_SunOct25
#010101,49.288311,-123.116730,298_SunOct25
#070302,49.284599,-123.108887,298_SunOct25
#010102,49.250000,-123.100000,298_SunOct25
#040202,49.283913,-123.124016,298_SunOct25
#010101,49.282558,-123.106278,298_SunOct25
#CF89AE,49.290610,-123.137140,298_SunOct25
#080D09,49.271156,-123.139790,298_SunOct25
#BDDECB,49.285199,-123.111159,298_SunOct25
#B4829E,49.282663,-123.124930,298_SunOct25
#18150A,49.283108,-123.118874,298_SunOct25
#AD6A89,49.281097,-123.120304,298_SunOct25
#040202,49.248970,-123.101204,298_SunOct25
#020107,49.281929,-123.100098,298_SunOct25
#030202,49.279368,-123.112326,298_SunOct25
#030203,49.283623,-123.103828,298_SunOct25
#050305,49.279551,-123.103416,298_SunOct25
#1A0C0D,49.283623,-123.103828,298_SunOct25
#080707,49.257198,-123.100853,298_SunOct25
#020301,49.264240,-123.101410,298_SunOct25
#040504,49.278038,-123.109234,298_SunOct25
#020101,49.283573,-123.103950,298_SunOct25
#0C201A,49.281329,-123.133218,298_SunOct25
#050605,49.286556,-123.142616,298_SunOct25
#8F6F71,49.280050,-123.131300,298_SunOct25
#030303,49.265980,-123.069321,298_SunOct25
#191517,49.253955,-123.114740,298_SunOct25
#867483,49.284679,-123.111893,298_SunOct25
#050303,49.283642,-123.106773,298_SunOct25
#0D0404,49.278038,-123.109234,298_SunOct25
#070807,49.268967,-123.102936,298_SunOct25
#020101,49.278431,-123.114342,298_SunOct25
#816A60,52.883300,-118.083000,298_SunOct25
#ECB5CC,49.278038,-123.109234,298_SunOct25
#917E84,49.250000,-123.100000,298_SunOct25
#010302,49.282759,-123.108404,298_SunOct25
#D1A0B8,49.250000,-123.100000,298_SunOct25
#020202,49.250000,-123.100000,298_SunOct25
#010101,49.286556,-123.142616,298_SunOct25
#070301,49.280491,-123.120567,298_SunOct25
#0D0B0C,49.262371,-123.095703,298_SunOct25
#F4E6EE,49.289711,-123.116074,298_SunOct25
#180D15,49.270031,-123.144997,298_SunOct25
#121A0C,49.277992,-123.109113,298_SunOct25
#010702,49.279669,-123.122709,298_SunOct25
#020102,49.250000,-123.100000,298_SunOct25
#E3ECE5,49.285106,-123.102149,298_SunOct25
#0B0507,49.282501,-123.109139,298_SunOct25
#865C74,49.266361,-123.138596,298_SunOct25
#141805,49.283691,-123.106049,298_SunOct25
#AEC7B9,49.279519,-123.115608,298_SunOct25
#030302,49.277992,-123.109113,298_SunOct25
#C285B3,49.279669,-123.122709,298_SunOct25
#030A03,49.250000,-123.100000,298_SunOct25
#060606,49.280659,-123.100861,298_SunOct25
#010101,49.265980,-123.069321,298_SunOct25
#060A09,49.271156,-123.139790,298_SunOct25
#070604,49.283691,-123.106049,298_SunOct25
#020102,49.271706,-123.069725,298_SunOct25
#000001,49.270427,-123.113052,298_SunOct25
#040304,49.280491,-123.120567,298_SunOct25
#0A0A0A,49.276524,-123.100084,298_SunOct25
#17070C,49.283327,-123.119291,298_SunOct25
#770F15,49.284546,-123.125153,298_SunOct25
#030505,49.280491,-123.120567,298_SunOct25
#B30D0B,49.280659,-123.100861,298_SunOct25
#010001,49.232979,-123.077461,298_SunOct25
#020302,49.215453,-123.087823,298_SunOct25
#001700,49.280491,-123.120567,298_SunOct25
#A3649C,49.286102,-123.127388,298_SunOct25
#020201,49.215453,-123.087823,298_SunOct25
#020101,49.284661,-123.112716,298_SunOct25
#25EDA9,49.287441,-123.141958,298_SunOct25
#010202,49.280491,-123.120567,298_SunOct25
#060604,49.215453,-123.087823,298_SunOct25
#130709,49.284546,-123.125153,298_SunOct25
#010602,49.277992,-123.109113,298_SunOct25
#020201,49.279669,-123.122709,298_SunOct25
#010101,49.215453,-123.087823,298_SunOct25
#040404,49.272442,-123.095711,298_SunOct25
#040102,49.281895,-123.107414,298_SunOct25
#1C0410,49.300000,-123.140000,298_SunOct25
#956279,49.278912,-123.122932,298_SunOct25
#040203,49.280404,-123.121227,298_SunOct25
#040202,49.277992,-123.109113,298_SunOct25
#010101,49.278038,-123.109234,298_SunOct25
#9A7A83,49.258572,-123.137995,298_SunOct25
#020502,49.215453,-123.087823,298_SunOct25
#060606,49.280491,-123.120567,298_SunOct25
#01A007,49.280491,-123.120567,298_SunOct25
#010101,49.280720,-123.121391,298_SunOct25
#090A09,49.268094,-123.155494,298_SunOct25
#040102,49.280067,-123.103790,298_SunOct25
#090909,49.285079,-123.113636,298_SunOct25
#060101,49.284439,-123.110268,298_SunOct25
#020200,49.280491,-123.120567,298_SunOct25
#030403,49.278038,-123.109234,298_SunOct25
#BAA1B3,49.250000,-123.100000,298_SunOct25
#AD6FAA,49.271744,-123.105446,298_SunOct25
#AC6C88,49.290722,-123.133995,298_SunOct25
#6F7875,49.278038,-123.109234,298_SunOct25
#020001,49.281271,-123.098454,298_SunOct25
#0F0B10,49.279827,-123.116577,298_SunOct25
#000000,49.250000,-123.100000,298_SunOct25
#030202,49.280148,-123.120211,298_SunOct25
#060604,49.285524,-123.118666,298_SunOct25
#8D7C8C,49.272442,-123.095711,298_SunOct25
#020503,49.283108,-123.118874,298_SunOct25
#010101,49.215453,-123.087823,298_SunOct25
#020101,49.284882,-123.122894,298_SunOct25
#0F130D,49.265434,-123.069923,298_SunOct25
#0A0A0A,49.280491,-123.120567,298_SunOct25
#050301,49.262001,-123.070488,298_SunOct25
#762850,49.255546,-123.068660,298_SunOct25
#1C1C21,49.283688,-123.121143,298_SunOct25
#010101,49.215453,-123.087823,298_SunOct25
#0C0D0C,49.282675,-123.106064,298_SunOct25
#F6F3F6,49.288311,-123.116730,298_SunOct25
#021802,49.280491,-123.120567,298_SunOct25
#010101,49.215453,-123.087823,298_SunOct25
#020804,49.250000,-123.100000,298_SunOct25
#9D2459,49.266361,-123.138596,298_SunOct25
#0B0406,49.281895,-123.107414,298_SunOct25
#010101,49.268940,-123.098877,298_SunOct25
#D5E8ED,49.280491,-123.120567,298_SunOct25
#020201,49.281271,-123.098454,298_SunOct25
#1A0B0C,49.281125,-123.089618,298_SunOct25
#020304,49.288333,-123.117778,298_SunOct25
#020001,49.289167,-123.116389,298_SunOct25
#000101,49.283379,-123.102486,298_SunOct25
#030202,49.235737,-123.155747,298_SunOct25
#C70423,49.271856,-123.135008,298_SunOct25
#020000,49.250000,-123.100000,298_SunOct25
#A92253,49.276352,-123.119621,298_SunOct25
#FAF5F9,49.284390,-123.109605,298_SunOct25
#010202,49.280491,-123.120567,298_SunOct25
#6CB702,49.281929,-123.100098,298_SunOct25
#BD6397,49.300000,-123.140000,298_SunOct25
#1B0606,49.288357,-123.139023,298_SunOct25
#120306,49.278529,-123.098299,298_SunOct25
#CD74B6,49.290039,-123.133484,298_SunOct25
#000101,49.280491,-123.120567,298_SunOct25
#010001,49.280491,-123.120567,298_SunOct25
#040102,49.284153,-123.097755,298_SunOct25
#0F0A07,49.279669,-123.122709,298_SunOct25
#020101,49.285079,-123.113636,298_SunOct25
#8F898C,49.280491,-123.120567,298_SunOct25
#0F080C,49.288639,-123.142418,298_SunOct25
#010302,49.284792,-123.115374,298_SunOct25
#0D0908,49.282871,-123.103943,298_SunOct25
#0A0205,49.284153,-123.097755,298_SunOct25
#1A0309,49.275363,-123.099876,298_SunOct25
#020202,49.264240,-123.101410,298_SunOct25
#021602,49.250000,-123.100000,298_SunOct25
#976075,49.250000,-123.100000,298_SunOct25
#0F140F,49.250000,-123.100000,298_SunOct25
#020202,49.250000,-123.100000,298_SunOct25
#060405,49.281379,-123.071924,298_SunOct25
#010501,49.280404,-123.121227,298_SunOct25
#110607,49.283109,-123.108402,298_SunOct25
#000700,49.280491,-123.120567,298_SunOct25
#030001,49.281311,-123.132904,298_SunOct25
#0D0606,49.285192,-123.111250,298_SunOct25
#12130F,49.278664,-123.099243,298_SunOct25
#CF5D7A,49.285079,-123.113636,298_SunOct25
#020101,49.278912,-123.122932,298_SunOct25
#97588D,49.281704,-123.104149,298_SunOct25
#030600,49.284439,-123.110268,298_SunOct25
#081202,49.284546,-123.125153,298_SunOct25
#020102,49.283718,-123.121109,298_SunOct25
#070600,49.285192,-123.111250,298_SunOct25
#010501,49.281929,-123.100098,298_SunOct25
#090B03,49.280491,-123.120567,298_SunOct25
#012807,49.280491,-123.120567,298_SunOct25
#020605,49.300000,-123.140000,298_SunOct25
#0C1202,49.285192,-123.111250,298_SunOct25
#0C1208,49.250000,-123.100000,298_SunOct25
#0A0507,49.268967,-123.102936,298_SunOct25
#020201,49.285856,-123.127205,298_SunOct25
#6A0306,49.276800,-123.122164,298_SunOct25
#010000,49.273353,-123.103411,298_SunOct25
#010101,49.259465,-123.079110,298_SunOct25
#080807,49.250000,-123.100000,298_SunOct25
#A983C5,49.277069,-123.081642,298_SunOct25
#190A07,49.285192,-123.111250,298_SunOct25
#030202,49.300917,-123.117018,298_SunOct25
#0A0A0A,49.274285,-123.123491,298_SunOct25
#21181F,49.278938,-123.123251,298_SunOct25
#0E0605,49.278736,-123.112015,298_SunOct25
#010201,49.288128,-123.114868,298_SunOct25
#061403,49.218710,-123.102690,298_SunOct25
#090909,49.285192,-123.111250,298_SunOct25
#010107,49.281929,-123.100098,298_SunOct25
#0F0B0F,49.278938,-123.123251,298_SunOct25
#110A0D,49.277206,-123.126526,298_SunOct25
#020301,49.281143,-123.102051,298_SunOct25
#6F2244,49.278529,-123.098299,298_SunOct25
#0A0204,49.284546,-123.125153,298_SunOct25
#070405,49.250000,-123.100000,298_SunOct25
#1B1619,49.272442,-123.095711,298_SunOct25
#FAF8FA,49.279934,-123.108154,298_SunOct25
#041E03,49.280491,-123.120567,298_SunOct25
#171306,49.285192,-123.111250,298_SunOct25
#000200,49.280491,-123.120567,298_SunOct25
#010201,49.284792,-123.115374,298_SunOct25
#010601,49.283691,-123.106049,298_SunOct25
