color,lat,long,date
#060101,49.278038,-123.109234,299_MonOct26
#120A0D,49.242222,-123.115000,299_MonOct26
#DFECEB,49.261501,-123.157282,299_MonOct26
#171719,49.238990,-123.129839,299_MonOct26
#0D150D,49.250000,-123.100000,299_MonOct26
#9B959D,49.300000,-123.140000,299_MonOct26
#040102,49.278038,-123.109234,299_MonOct26
#040502,49.268494,-123.069511,299_MonOct26
#0B4525,49.278038,-123.109234,299_MonOct26
#010303,49.278038,-123.109234,299_MonOct26
#030203,49.271856,-123.135008,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#040206,49.278038,-123.109234,299_MonOct26
#030203,49.280339,-123.124896,299_MonOct26
#050505,49.280659,-123.100861,299_MonOct26
#CC69AD,49.267799,-123.148819,299_MonOct26
#101403,49.278038,-123.109234,299_MonOct26
#020202,49.278038,-123.109234,299_MonOct26
#000101,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#070402,49.279828,-123.121642,299_MonOct26
#040202,49.282482,-123.102776,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#011101,49.278038,-123.109234,299_MonOct26
#1F8C57,49.273158,-123.119131,299_MonOct26
#037C1C,49.278038,-123.109234,299_MonOct26
#010202,49.278038,-123.109234,299_MonOct26
#789381,49.300917,-123.117018,299_MonOct26
#040703,49.278038,-123.109234,299_MonOct26
#A40703,49.278038,-123.109234,299_MonOct26
#010301,49.278038,-123.109234,299_MonOct26
#020101,49.284679,-123.111893,299_MonOct26
#1C0A05,49.279270,-123.129776,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#010501,49.250000,-123.100000,299_MonOct26
#010200,49.278038,-123.109234,299_MonOct26
#040101,49.278038,-123.109234,299_MonOct26
#15C948,49.250000,-123.100000,299_MonOct26
#BE0601,49.278038,-123.109234,299_MonOct26
#070707,49.278038,-123.109234,299_MonOct26
#010101,49.242222,-123.115000,299_MonOct26
#020402,49.280404,-123.121227,299_MonOct26
#1A0606,49.278038,-123.109234,299_MonOct26
#030403,49.276809,-123.112154,299_MonOct26
#000000,49.250000,-123.100000,299_MonOct26
#030604,49.278031,-123.108907,299_MonOct26
#CFB9BE,49.283691,-123.103455,299_MonOct26
#010301,49.279828,-123.121642,299_MonOct26
#010401,49.278038,-123.109234,299_MonOct26
#010602,49.278038,-123.109234,299_MonOct26
#050302,49.278038,-123.109234,299_MonOct26
#020203,49.278038,-123.109234,299_MonOct26
#020202,49.284599,-123.108887,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#030101,49.300000,-123.140000,299_MonOct26
#020101,49.276809,-123.112154,299_MonOct26
#040202,49.278038,-123.109234,299_MonOct26
#00CA04,49.278038,-123.109234,299_MonOct26
#62565F,49.281765,-123.107483,299_MonOct26
#030202,49.273998,-123.124132,299_MonOct26
#000000,49.283484,-123.104265,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#0B0B0E,49.278038,-123.109234,299_MonOct26
#030303,49.250000,-123.100000,299_MonOct26
#017815,49.278038,-123.109234,299_MonOct26
#050605,49.250000,-123.100000,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#C2D7D7,49.250000,-123.100000,299_MonOct26
#010601,49.278038,-123.109234,299_MonOct26
#12070D,49.250000,-123.100000,299_MonOct26
#080D07,49.273353,-123.103411,299_MonOct26
#8A788C,49.250000,-123.100000,299_MonOct26
#040202,49.278038,-123.109234,299_MonOct26
#FCF7FB,49.282574,-123.123938,299_MonOct26
#B9B9B9,49.250000,-123.100000,299_MonOct26
#100603,49.286282,-123.126472,299_MonOct26
#010201,49.278038,-123.109234,299_MonOct26
#020101,49.284439,-123.110268,299_MonOct26
#F097C7,49.289711,-123.116074,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#FDF9FC,49.284042,-123.107463,299_MonOct26
#5A0D17,49.237560,-123.155693,299_MonOct26
#005802,49.300743,-123.130331,299_MonOct26
#0F0B10,49.250000,-123.100000,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#070707,49.250000,-123.100000,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#9CB6A4,49.216901,-123.077238,299_MonOct26
#FAFAFA,49.250000,-123.100000,299_MonOct26
#020202,49.278038,-123.109234,299_MonOct26
#040302,49.263427,-123.136850,299_MonOct26
#040201,49.278604,-123.125696,299_MonOct26
#030202,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#070301,49.278038,-123.109234,299_MonOct26
#010301,49.278038,-123.109234,299_MonOct26
#7F7576,49.250000,-123.100000,299_MonOct26
#090909,49.278038,-123.109234,299_MonOct26
#030201,49.278038,-123.109234,299_MonOct26
#030303,49.267227,-123.113930,299_MonOct26
#020202,49.278031,-123.108907,299_MonOct26
#101516,49.250000,-123.100000,299_MonOct26
#090708,49.279538,-123.100612,299_MonOct26
#010000,49.278038,-123.109234,299_MonOct26
#020302,49.278038,-123.109234,299_MonOct26
#120508,49.265766,-123.100643,299_MonOct26
#EFEFEF,49.283691,-123.103455,299_MonOct26
#980203,49.278038,-123.109234,299_MonOct26
#0E1413,49.250000,-123.100000,299_MonOct26
#0D090A,49.271856,-123.135008,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#070707,49.278038,-123.109234,299_MonOct26
#030102,49.283129,-123.105364,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#FAFCFB,49.278038,-123.109234,299_MonOct26
#171409,49.263427,-123.136850,299_MonOct26
#010101,49.250000,-123.100000,299_MonOct26
#6C2850,49.250000,-123.100000,299_MonOct26
#010000,49.278038,-123.109234,299_MonOct26
#010001,49.278038,-123.109234,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#070505,49.290722,-123.133995,299_MonOct26
#020402,49.278038,-123.109234,299_MonOct26
#92835A,49.278038,-123.109234,299_MonOct26
#020302,49.278038,-123.109234,299_MonOct26
#010202,49.278038,-123.109234,299_MonOct26
#010000,49.278038,-123.109234,299_MonOct26
#0C0609,49.272625,-123.135620,299_MonOct26
#050202,49.279610,-123.113098,299_MonOct26
#21E065,49.300000,-123.140000,299_MonOct26
#7B877A,49.284340,-123.111359,299_MonOct26
#1F1C1E,49.278110,-123.119492,299_MonOct26
#13080B,49.275604,-123.121522,299_MonOct26
#14190B,49.278038,-123.109234,299_MonOct26
#020201,49.250000,-123.100000,299_MonOct26
#020101,49.270833,-123.106667,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#090606,49.278038,-123.109234,299_MonOct26
#080707,49.281059,-123.119690,299_MonOct26
#030302,49.281368,-123.133431,299_MonOct26
#000000,49.250000,-123.100000,299_MonOct26
#190903,49.248142,-123.100906,299_MonOct26
#030402,49.278038,-123.109234,299_MonOct26
#030202,49.278038,-123.109234,299_MonOct26
#0F0E0A,49.254256,-123.115038,299_MonOct26
#060203,49.285999,-123.127571,299_MonOct26
#020100,49.278038,-123.109234,299_MonOct26
#040202,49.283214,-123.103059,299_MonOct26
#F4F4F4,49.278038,-123.109234,299_MonOct26
#080707,49.281059,-123.119690,299_MonOct26
#C30301,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#140F0B,49.250000,-123.100000,299_MonOct26
#15070C,49.250000,-123.100000,299_MonOct26
#080807,49.250000,-123.100000,299_MonOct26
#A86B81,49.271856,-123.135008,299_MonOct26
#0D100E,49.279062,-123.119669,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#010F04,49.278038,-123.109234,299_MonOct26
#030302,49.278038,-123.109234,299_MonOct26
#050601,49.278038,-123.109234,299_MonOct26
#010201,49.278038,-123.109234,299_MonOct26
#060405,49.278038,-123.109234,299_MonOct26
#AA7188,49.300000,-123.140000,299_MonOct26
#0B0A07,49.248142,-123.100906,299_MonOct26
#050503,49.278038,-123.109234,299_MonOct26
#000101,49.278038,-123.109234,299_MonOct26
#070706,49.278038,-123.109234,299_MonOct26
#030302,49.278038,-123.109234,299_MonOct26
#A57795,49.274917,-123.121505,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#060604,49.283440,-123.118910,299_MonOct26
#18B453,49.278038,-123.109234,299_MonOct26
#0E080D,49.278038,-123.109234,299_MonOct26
#08190A,49.278038,-123.109234,299_MonOct26
#040303,49.276445,-123.087142,299_MonOct26
#F6F2F6,49.300000,-123.140000,299_MonOct26
#010201,49.278038,-123.109234,299_MonOct26
#530D0B,49.293240,-123.140152,299_MonOct26
#076013,49.278038,-123.109234,299_MonOct26
#E4CFD9,49.283440,-123.118910,299_MonOct26
#020102,49.278038,-123.109234,299_MonOct26
#130A05,49.268150,-123.085602,299_MonOct26
#010001,49.278038,-123.109234,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#831560,49.287441,-123.141958,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#B67499,49.250000,-123.100000,299_MonOct26
#010501,49.278038,-123.109234,299_MonOct26
#020202,49.278038,-123.109234,299_MonOct26
#1E080C,49.250000,-123.100000,299_MonOct26
#160E0E,49.278038,-123.109234,299_MonOct26
#060303,49.278038,-123.109234,299_MonOct26
#000400,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#021E0C,49.278038,-123.109234,299_MonOct26
#18120E,49.286556,-123.142616,299_MonOct26
#010101,49.250000,-123.100000,299_MonOct26
#E5E7E4,49.298958,-123.121335,299_MonOct26
#020101,49.286556,-123.142616,299_MonOct26
#080706,49.278031,-123.108907,299_MonOct26
#152204,49.278038,-123.109234,299_MonOct26
#020102,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#000101,49.278038,-123.109234,299_MonOct26
#010202,49.278038,-123.109234,299_MonOct26
#010101,49.250000,-123.100000,299_MonOct26
#847481,49.232037,-123.157140,299_MonOct26
#4D1125,49.286556,-123.142616,299_MonOct26
#0A0401,49.278038,-123.109234,299_MonOct26
#66A578,49.288128,-123.114868,299_MonOct26
#040404,49.278038,-123.109234,299_MonOct26
#F3DAEA,49.250000,-123.100000,299_MonOct26
#010102,49.250000,-123.100000,299_MonOct26
#000000,49.272697,-123.152794,299_MonOct26
#180209,49.286556,-123.142616,299_MonOct26
#010000,49.285152,-123.118416,299_MonOct26
#E1E3E1,49.279677,-123.119916,299_MonOct26
#000101,49.278038,-123.109234,299_MonOct26
#1B0610,49.278038,-123.109234,299_MonOct26
#101703,49.278038,-123.109234,299_MonOct26
#050505,49.281765,-123.107483,299_MonOct26
#010201,49.278024,-123.108908,299_MonOct26
#030203,49.284042,-123.107463,299_MonOct26
#0B0C0E,49.250000,-123.100000,299_MonOct26
#0B0608,49.285152,-123.118416,299_MonOct26
#030403,49.250000,-123.100000,299_MonOct26
#040504,49.250000,-123.100000,299_MonOct26
#050401,49.278038,-123.109234,299_MonOct26
#0A0607,49.281704,-123.104149,299_MonOct26
#040301,49.273158,-123.119131,299_MonOct26
#AD6E87,49.283440,-123.118910,299_MonOct26
#030102,49.275982,-123.120163,299_MonOct26
#020102,49.278038,-123.109234,299_MonOct26
#070907,49.250000,-123.100000,299_MonOct26
#1F1E1F,49.250000,-123.100000,299_MonOct26
#020401,49.282811,-123.123575,299_MonOct26
#13080C,49.284792,-123.115374,299_MonOct26
#0A0A0A,49.278038,-123.109234,299_MonOct26
#020202,49.300743,-123.130331,299_MonOct26
#0D0A0D,49.284792,-123.115374,299_MonOct26
#A27894,49.279488,-123.107742,299_MonOct26
#110E0D,49.250000,-123.100000,299_MonOct26
#759492,49.284792,-123.115374,299_MonOct26
#020302,49.280248,-123.114811,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#84557D,49.282555,-123.093599,299_MonOct26
#000100,49.281368,-123.133431,299_MonOct26
#190D0F,49.278038,-123.109234,299_MonOct26
#050201,49.284042,-123.107463,299_MonOct26
#070406,49.273353,-123.103411,299_MonOct26
#FCF6FB,49.281650,-123.121071,299_MonOct26
#0C1007,49.278038,-123.109234,299_MonOct26
#040202,49.283141,-123.117692,299_MonOct26
#09110D,49.281723,-123.120350,299_MonOct26
#0E0F0D,49.250000,-123.100000,299_MonOct26
#030302,49.254256,-123.115038,299_MonOct26
#FCF8FA,49.280404,-123.121227,299_MonOct26
#011403,49.250000,-123.100000,299_MonOct26
#040404,49.300000,-123.140000,299_MonOct26
#F3EDF2,49.286674,-123.128258,299_MonOct26
#DFE6EC,49.250000,-123.100000,299_MonOct26
#020202,49.250000,-123.100000,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#010101,49.279828,-123.121642,299_MonOct26
#0C120A,49.281990,-123.124237,299_MonOct26
#000601,49.278038,-123.109234,299_MonOct26
#010100,49.300000,-123.140000,299_MonOct26
#020302,49.271580,-123.106979,299_MonOct26
#F3F6F1,49.285999,-123.127571,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#090909,49.270283,-123.069412,299_MonOct26
#040401,49.300000,-123.140000,299_MonOct26
#0F0F05,49.278038,-123.109234,299_MonOct26
#020101,49.283484,-123.104265,299_MonOct26
#E7F1EB,49.285999,-123.127571,299_MonOct26
#050604,49.291566,-123.135276,299_MonOct26
#020403,49.284599,-123.108887,299_MonOct26
#030300,49.278038,-123.109234,299_MonOct26
#AA597B,49.275082,-123.121017,299_MonOct26
#1A1C1D,49.271856,-123.135008,299_MonOct26
#090F08,49.287441,-123.141958,299_MonOct26
#100308,49.276352,-123.119621,299_MonOct26
#040303,49.276352,-123.119621,299_MonOct26
#F8F8F7,49.285999,-123.127571,299_MonOct26
#060806,49.278038,-123.109234,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#020201,49.250000,-123.100000,299_MonOct26
#120C0F,49.284572,-123.124657,299_MonOct26
#906380,49.264895,-123.069458,299_MonOct26
#98768D,49.276352,-123.119621,299_MonOct26
#FBF9FA,49.285999,-123.127571,299_MonOct26
#030301,49.278038,-123.109234,299_MonOct26
#090606,49.250000,-123.100000,299_MonOct26
#060303,49.278604,-123.125696,299_MonOct26
#010103,49.284042,-123.107463,299_MonOct26
#080202,49.278038,-123.109234,299_MonOct26
#010101,49.271856,-123.135008,299_MonOct26
#010101,49.278038,-123.109234,299_MonOct26
#F7F7F6,49.285999,-123.127571,299_MonOct26
#090909,49.278038,-123.109234,299_MonOct26
#080506,49.278031,-123.108907,299_MonOct26
#8F7589,49.282124,-123.120682,299_MonOct26
#080C12,49.300000,-123.140000,299_MonOct26
#020206,49.300000,-123.140000,299_MonOct26
#AC789C,49.284882,-123.122894,299_MonOct26
#040401,49.291466,-123.127777,299_MonOct26
#FDFAFD,49.284861,-123.122912,299_MonOct26
#13A556,49.250000,-123.100000,299_MonOct26
#020101,49.278038,-123.109234,299_MonOct26
#030600,49.275404,-123.109266,299_MonOct26
#030101,49.278038,-123.109234,299_MonOct26
#050203,49.250000,-123.100000,299_MonOct26
#1A1A19,49.271856,-123.135008,299_MonOct26
#90807E,49.300000,-123.140000,299_MonOct26
#040400,49.283109,-123.108402,299_MonOct26
#010300,49.278038,-123.109234,299_MonOct26
#A4B7AA,49.250000,-123.100000,299_MonOct26
#12050B,49.279810,-123.121969,299_MonOct26
#020101,49.301412,-123.134010,299_MonOct26
#10070A,49.282652,-123.104467,299_MonOct26
#020202,49.301412,-123.134010,299_MonOct26
#EEEBEE,49.276765,-123.117265,299_MonOct26
#7E6C7C,49.276352,-123.119621,299_MonOct26
#020702,49.281874,-123.124205,299_MonOct26
#040103,49.283440,-123.118910,299_MonOct26
#171207,49.250000,-123.100000,299_MonOct26
#140E02,49.278038,-123.109234,299_MonOct26
#DF6FA6,49.282989,-123.124039,299_MonOct26
#020302,49.281683,-123.077110,299_MonOct26
#000000,49.278038,-123.109234,299_MonOct26
#170406,49.278038,-123.109234,299_MonOct26
#050604,49.278038,-123.109234,299_MonOct26
#020302,49.289711,-123.116074,299_MonOct26
#506660,49.250000,-123.100000,299_MonOct26
#0A0608,49.281368,-123.133431,299_MonOct26
#030203,49.250000,-123.100000,299_MonOct26
#17040F,49.288390,-123.130570,299_MonOct26
#945672,49.283440,-123.118910,299_MonOct26
#E4B5CE,49.282652,-123.104467,299_MonOct26
#030302,49.278038,-123.109234,299_MonOct26
#FBF9FC,49.250000,-123.100000,299_MonOct26
#0A0B07,49.242222,-123.115000,299_MonOct26
#D0DAD1,49.278038,-123.109234,299_MonOct26
#020303,49.278031,-123.108907,299_MonOct26
#C5EAE0,49.250000,-123.100000,299_MonOct26
#275E07,49.278038,-123.109234,299_MonOct26
#010201,49.278031,-123.108907,299_MonOct26
#A7956D,49.259465,-123.079110,299_MonOct26
#B8C7BE,49.231608,-123.076635,299_MonOct26
#010201,49.278038,-123.109234,299_MonOct26
#020101,49.284439,-123.110268,299_MonOct26
#9F657E,49.250000,-123.100000,299_MonOct26
#240716,49.284599,-123.108887,299_MonOct26
#020201,49.250000,-123.100000,299_MonOct26
#000100,49.278038,-123.109234,299_MonOct26
#000101,49.250000,-123.100000,299_MonOct26
#FEFEFE,49.279810,-123.121969,299_MonOct26
#010301,49.250000,-123.100000,299_MonOct26
#DAD8D8,49.280189,-123.121010,299_MonOct26
#DD689B,49.282791,-123.104782,299_MonOct26
#06100C,49.269281,-123.118655,299_MonOct26
#090909,49.280659,-123.100861,299_MonOct26
#090909,49.278038,-123.109234,299_MonOct26
#675259,49.270556,-123.133333,299_MonOct26
#010101,49.281685,-123.132942,299_MonOct26
#050503,49.278038,-123.109234,299_MonOct26
#1C0304,49.275726,-123.120552,299_MonOct26
#078401,49.279796,-123.121661,299_MonOct26
#040600,49.280491,-123.120567,299_MonOct26
#010100,49.278038,-123.109234,299_MonOct26
#68866F,49.276809,-123.112154,299_MonOct26
#C75E91,49.283440,-123.118910,299_MonOct26
#62D9A9,49.271894,-123.134921,299_MonOct26
#71555D,49.282834,-123.120458,299_MonOct26
#F9FBFA,49.279677,-123.119916,299_MonOct26
#150D0F,49.252008,-123.101656,299_MonOct26
#DAD8D8,49.280189,-123.121010,299_MonOct26
#EA5B97,49.250000,-123.100000,299_MonOct26
#DFC3DC,49.283440,-123.118910,299_MonOct26
#C4F9EC,49.250000,-123.100000,299_MonOct26
#080707,49.281391,-123.107781,299_MonOct26
#020101,49.250000,-123.100000,299_MonOct26
#0E0508,49.276894,-123.119896,299_MonOct26
#E50505,49.278038,-123.109234,299_MonOct26
#9B7691,49.288128,-123.114868,299_MonOct26
#491127,49.283440,-123.118910,299_MonOct26
#020202,49.278038,-123.109234,299_MonOct26
#020501,49.278038,-123.109234,299_MonOct26
#05120A,49.250000,-123.100000,299_MonOct26
#030102,49.283342,-123.142372,299_MonOct26
#010000,49.278038,-123.109234,299_MonOct26
#F9F8F9,49.242222,-123.115000,299_MonOct26
#060601,49.278038,-123.109234,299_MonOct26
#A0AAA2,49.250000,-123.100000,299_MonOct26
#F6F1F3,49.281582,-123.132782,299_MonOct26
#000101,49.278038,-123.109234,299_MonOct26
#E4ECEB,49.282763,-123.119884,299_MonOct26
#130509,49.272697,-123.152794,299_MonOct26
#CFB5C3,49.282811,-123.123575,299_MonOct26
#856470,49.283233,-123.117709,299_MonOct26
#020202,49.283421,-123.104652,299_MonOct26
#040204,49.284688,-123.110953,299_MonOct26
#14070B,49.290722,-123.133995,299_MonOct26
#289559,49.300000,-123.140000,299_MonOct26
#020202,49.283642,-123.106773,299_MonOct26
#030403,49.282425,-123.124291,299_MonOct26
#030403,49.284599,-123.108887,299_MonOct26
#070B07,49.281582,-123.132782,299_MonOct26
