color,lat,long,date
#BA82AE,49.250000,-123.100000,313_MonNov9
#070306,49.249249,-123.075127,313_MonNov9
#010402,49.279796,-123.121661,313_MonNov9
#010101,49.300629,-123.117593,313_MonNov9
#010101,49.280491,-123.120567,313_MonNov9
#E8DBDA,49.250000,-123.100000,313_MonNov9
#040203,49.278339,-123.125778,313_MonNov9
#F0EBEA,49.264019,-123.105309,313_MonNov9
#010101,49.284042,-123.107463,313_MonNov9
#1A5C2C,49.284661,-123.112716,313_MonNov9
#665421,49.282501,-123.097183,313_MonNov9
#010001,49.279796,-123.121661,313_MonNov9
#040303,49.276809,-123.112154,313_MonNov9
#1F1C1E,49.288505,-123.135166,313_MonNov9
#040303,49.263187,-123.111462,313_MonNov9
#030101,49.288746,-123.131500,313_MonNov9
#715F6E,49.276809,-123.112154,313_MonNov9
#030201,49.279796,-123.121661,313_MonNov9
#090206,49.249802,-123.100639,313_MonNov9
#010101,49.288830,-123.117691,313_MonNov9
#090402,49.250000,-123.100000,313_MonNov9
#070202,49.270460,-123.100585,313_MonNov9
#050603,49.280659,-123.100861,313_MonNov9
#9A5273,49.287441,-123.141958,313_MonNov9
#010100,49.280491,-123.120567,313_MonNov9
#15030A,49.263599,-123.121384,313_MonNov9
#020101,49.282799,-123.104073,313_MonNov9
#0C1311,49.287848,-123.120513,313_MonNov9
#070506,49.287941,-123.113132,313_MonNov9
#0E0B10,49.250000,-123.100000,313_MonNov9
#B1BBB4,49.277866,-123.127245,313_MonNov9
#0D0807,49.284981,-123.110840,313_MonNov9
#EED1E9,49.270460,-123.100585,313_MonNov9
#0E0206,49.281548,-123.123627,313_MonNov9
#010201,49.280491,-123.120567,313_MonNov9
#070302,49.287441,-123.141958,313_MonNov9
#020101,49.282799,-123.104073,313_MonNov9
#AA5267,49.260910,-123.129982,313_MonNov9
#040504,49.280491,-123.120567,313_MonNov9
#C3CDC7,49.281846,-123.114606,313_MonNov9
#110B05,49.280720,-123.121391,313_MonNov9
#010201,49.280491,-123.120567,313_MonNov9
#020202,49.282799,-123.104073,313_MonNov9
#B88196,49.265060,-123.112137,313_MonNov9
#020101,49.284792,-123.115374,313_MonNov9
#6A6A6A,49.281874,-123.124205,313_MonNov9
#12090C,49.218710,-123.102690,313_MonNov9
#8F8B96,49.263599,-123.121384,313_MonNov9
#030101,49.280491,-123.120567,313_MonNov9
#E5E3E4,49.250000,-123.100000,313_MonNov9
#09070A,49.273352,-123.132881,313_MonNov9
#191617,49.300000,-123.140000,313_MonNov9
#531E7B,49.276809,-123.112154,313_MonNov9
#000100,49.276809,-123.112154,313_MonNov9
#11030D,49.263599,-123.121384,313_MonNov9
#F1DFEB,49.273352,-123.132881,313_MonNov9
#1B1D1A,49.276329,-123.110245,313_MonNov9
