color,lat,long,date
#601584,49.238990,-123.129839,314_TueNov10
#B3689A,49.275009,-123.122002,314_TueNov10
#020201,49.284530,-123.123130,314_TueNov10
#070002,49.263550,-123.069550,314_TueNov10
#030102,49.279551,-123.103416,314_TueNov10
#030303,49.250000,-123.100000,314_TueNov10
#AA5C80,49.279790,-123.134040,314_TueNov10
#020101,49.280404,-123.121227,314_TueNov10
#927185,49.250000,-123.100000,314_TueNov10
#1D1E1C,49.258919,-123.101334,314_TueNov10
#B66096,49.250000,-123.100000,314_TueNov10
#110808,49.263957,-123.114953,314_TueNov10
#040203,49.282124,-123.120682,314_TueNov10
#120408,49.290249,-123.133812,314_TueNov10
#000001,49.283630,-123.106369,314_TueNov10
#FDFEFE,49.280404,-123.121227,314_TueNov10
#030101,49.250000,-123.100000,314_TueNov10
#040502,49.250000,-123.100000,314_TueNov10
#030403,49.280371,-123.129529,314_TueNov10
#030302,49.281765,-123.107483,314_TueNov10
#DFABBF,49.282120,-123.109520,314_TueNov10
#E8E8E7,49.250000,-123.100000,314_TueNov10
#061D04,48.452700,-122.336017,314_TueNov10
#020202,49.300000,-123.140000,314_TueNov10
#0D0609,49.286102,-123.127388,314_TueNov10
#060405,49.284599,-123.108887,314_TueNov10
#070807,49.275053,-123.105372,314_TueNov10
#F8F1F6,49.263957,-123.114953,314_TueNov10
#1D0B07,49.250000,-123.100000,314_TueNov10
#050303,49.275452,-123.121330,314_TueNov10
#050504,49.283379,-123.102486,314_TueNov10
#755E63,49.270460,-123.100585,314_TueNov10
#020403,49.282124,-123.120682,314_TueNov10
#1B0A0D,49.250000,-123.100000,314_TueNov10
#090707,49.250000,-123.100000,314_TueNov10
#010101,49.250000,-123.100000,314_TueNov10
#040503,49.280100,-123.112800,314_TueNov10
#050103,49.275404,-123.109266,314_TueNov10
#010101,49.287441,-123.141958,314_TueNov10
#5A9C82,49.288128,-123.114868,314_TueNov10
#BB5E8F,49.249290,-123.089996,314_TueNov10
#010101,49.263986,-123.100334,314_TueNov10
#8A8A8F,49.250000,-123.100000,314_TueNov10
#180208,49.273640,-123.118431,314_TueNov10
#010000,49.282826,-123.104485,314_TueNov10
#0C0C0F,49.300000,-123.140000,314_TueNov10
#120905,49.288033,-123.114475,314_TueNov10
#060401,49.270747,-123.131534,314_TueNov10
#020302,49.287441,-123.141958,314_TueNov10
#020603,49.264671,-123.114647,314_TueNov10
#010101,49.274917,-123.121505,314_TueNov10
#322B3A,49.272625,-123.135620,314_TueNov10
#855D74,49.287506,-123.120857,314_TueNov10
#040503,49.275173,-123.120865,314_TueNov10
#040200,49.266361,-123.138596,314_TueNov10
#150E0E,49.250000,-123.100000,314_TueNov10
#E5E5E6,49.250000,-123.100000,314_TueNov10
#030202,49.283336,-123.109054,314_TueNov10
#7BBA8D,49.263760,-123.138977,314_TueNov10
#A6979F,49.290488,-123.133765,314_TueNov10
#030403,49.280189,-123.121010,314_TueNov10
#0C080C,49.250000,-123.100000,314_TueNov10
#59F9BB,49.279677,-123.119916,314_TueNov10
#020202,49.267353,-123.124526,314_TueNov10
#0D0306,49.224760,-123.107897,314_TueNov10
#BD98A5,49.219140,-123.092156,314_TueNov10
#020101,49.288128,-123.114868,314_TueNov10
#040203,49.284599,-123.108887,314_TueNov10
#070304,49.289967,-123.132828,314_TueNov10
#1B0A05,49.250000,-123.100000,314_TueNov10
#F5F5F5,49.278014,-123.128744,314_TueNov10
#F5EEF1,49.274285,-123.123491,314_TueNov10
#040403,49.300000,-123.140000,314_TueNov10
#130208,49.290410,-123.133908,314_TueNov10
#020101,49.250000,-123.100000,314_TueNov10
#E6F0F0,50.082389,-123.071662,314_TueNov10
#D8C1CC,49.281765,-123.107483,314_TueNov10
#030705,49.284439,-123.110268,314_TueNov10
