color,lat,long,date
#5B0B10,49.271856,-123.135008,315_WedNov11
#170619,49.242222,-123.115000,315_WedNov11
#010717,49.278038,-123.109234,315_WedNov11
#050210,49.282673,-123.118187,315_WedNov11
#030501,49.278038,-123.109234,315_WedNov11
#1E1E1C,49.288311,-123.116730,315_WedNov11
#0D0707,49.234852,-123.156418,315_WedNov11
#020303,49.278038,-123.109234,315_WedNov11
#030302,49.271856,-123.135008,315_WedNov11
#A0676A,49.263329,-123.141701,315_WedNov11
#1A1C19,49.250000,-123.100000,315_WedNov11
#B5A6B7,49.282556,-123.107694,315_WedNov11
#040404,49.246715,-123.127267,315_WedNov11
#FAE7F3,49.249427,-123.101099,315_WedNov11
#020001,49.283484,-123.104265,315_WedNov11
#CCBCCF,49.257956,-123.115428,315_WedNov11
#050405,49.285999,-123.127571,315_WedNov11
#0D0103,49.284170,-123.114225,315_WedNov11
#010201,49.250000,-123.100000,315_WedNov11
#FBF5F9,49.282812,-123.108000,315_WedNov11
#030202,49.393333,-122.944444,315_WedNov11
#000000,49.278038,-123.109234,315_WedNov11
#020102,49.288830,-123.117691,315_WedNov11
#060404,49.280315,-123.121681,315_WedNov11
#000000,49.279270,-123.129776,315_WedNov11
#030302,49.279796,-123.121661,315_WedNov11
#030101,49.276524,-123.100084,315_WedNov11
#F7F8F7,49.250000,-123.100000,315_WedNov11
#C5E3BA,49.274445,-123.123054,315_WedNov11
#1C0A0E,49.278912,-123.122932,315_WedNov11
#0B0A0A,49.284792,-123.115374,315_WedNov11
#FAF8F8,49.278038,-123.109234,315_WedNov11
#010400,49.278038,-123.109234,315_WedNov11
#E9B4EA,49.250000,-123.100000,315_WedNov11
#0A090A,49.279610,-123.113098,315_WedNov11
#1E020D,49.280294,-123.125283,315_WedNov11
#13090E,49.250000,-123.100000,315_WedNov11
#057702,49.278038,-123.109234,315_WedNov11
#040101,49.250000,-123.100000,315_WedNov11
#13060B,49.278912,-123.122932,315_WedNov11
#160E09,49.271881,-123.069458,315_WedNov11
#010200,49.274445,-123.123054,315_WedNov11
#FDFEFD,49.266361,-123.138596,315_WedNov11
#080201,49.279617,-123.101364,315_WedNov11
#8D555D,49.264019,-123.105309,315_WedNov11
#16050B,49.278038,-123.109234,315_WedNov11
