color,lat,long,date
#19081B,49.279677,-123.119916,316_ThuNov12
#000000,49.289661,-123.133240,316_ThuNov12
#060706,49.271580,-123.106979,316_ThuNov12
#E7AEE6,49.250000,-123.100000,316_ThuNov12
#0E0706,49.250000,-123.100000,316_ThuNov12
#050200,49.264240,-123.101410,316_ThuNov12
#050D07,49.300000,-123.140000,316_ThuNov12
#010001,49.250000,-123.100000,316_ThuNov12
#0D070E,49.300000,-123.140000,316_ThuNov12
#010101,49.279919,-123.120590,316_ThuNov12
#CBCEC9,49.250000,-123.100000,316_ThuNov12
#EAD3EA,49.250000,-123.100000,316_ThuNov12
#94A8A3,49.288033,-123.114475,316_ThuNov12
#20191C,49.282834,-123.120458,316_ThuNov12
#E40B80,49.250000,-123.100000,316_ThuNov12
#020102,49.283327,-123.119291,316_ThuNov12
#714D64,49.284792,-123.115374,316_ThuNov12
#020202,49.276225,-123.102867,316_ThuNov12
#EBF5F4,49.250000,-123.100000,316_ThuNov12
#0F0A0A,49.250000,-123.100000,316_ThuNov12
#2E131C,49.287476,-123.128960,316_ThuNov12
#170A24,49.250000,-123.100000,316_ThuNov12
#000400,49.279919,-123.120590,316_ThuNov12
#A68191,49.281311,-123.132904,316_ThuNov12
#020101,49.271856,-123.135008,316_ThuNov12
#030102,49.276100,-123.121140,316_ThuNov12
#BEB4BC,49.270556,-123.133333,316_ThuNov12
#10090D,49.293240,-123.140152,316_ThuNov12
#EFDCEA,49.250000,-123.100000,316_ThuNov12
#030202,49.282124,-123.120682,316_ThuNov12
#040303,49.279828,-123.121642,316_ThuNov12
#090607,49.280096,-123.120196,316_ThuNov12
#4A323C,49.276524,-123.100084,316_ThuNov12
#010401,49.285106,-123.102149,316_ThuNov12
#FDFDFD,49.281765,-123.107483,316_ThuNov12
#DAA3C2,49.271856,-123.135008,316_ThuNov12
#D2D2D2,49.250000,-123.100000,316_ThuNov12
#040000,49.279919,-123.120590,316_ThuNov12
#021702,49.270984,-123.087410,316_ThuNov12
#020201,49.250000,-123.100000,316_ThuNov12
#020301,49.278038,-123.109234,316_ThuNov12
#020000,49.250000,-123.100000,316_ThuNov12
#E8CEE2,49.262348,-123.101410,316_ThuNov12
#010000,49.250000,-123.100000,316_ThuNov12
#040303,49.267830,-123.150932,316_ThuNov12
#040205,49.280096,-123.120196,316_ThuNov12
#030102,49.282124,-123.120682,316_ThuNov12
#111010,49.275452,-123.121330,316_ThuNov12
#030503,49.276225,-123.102867,316_ThuNov12
#060601,49.283484,-123.104265,316_ThuNov12
#B99BB3,49.272625,-123.135620,316_ThuNov12
#B3989A,49.250000,-123.100000,316_ThuNov12
#020202,49.283379,-123.102486,316_ThuNov12
#160E0E,49.250000,-123.100000,316_ThuNov12
#0F0608,49.276100,-123.121140,316_ThuNov12
#0F0D0E,49.242222,-123.115000,316_ThuNov12
#684D6E,49.284439,-123.110268,316_ThuNov12
#040302,49.272452,-123.135197,316_ThuNov12
#080603,49.270655,-123.106396,316_ThuNov12
#201F01,49.250000,-123.100000,316_ThuNov12
#9E2546,49.282826,-123.104485,316_ThuNov12
#A19A9E,49.270387,-123.136156,316_ThuNov12
#020103,49.264049,-123.115051,316_ThuNov12
#18120A,49.281444,-123.133636,316_ThuNov12
#8DA9A3,49.250000,-123.100000,316_ThuNov12
#030402,49.279919,-123.120590,316_ThuNov12
#DAF3F2,49.231852,-123.071374,316_ThuNov12
#0E0707,49.282989,-123.124039,316_ThuNov12
#020402,49.284861,-123.122912,316_ThuNov12
#020402,49.279828,-123.121642,316_ThuNov12
#190708,49.278229,-123.117401,316_ThuNov12
#0A0607,49.250000,-123.100000,316_ThuNov12
#080405,49.280414,-123.126281,316_ThuNov12
#020001,49.266361,-123.138596,316_ThuNov12
#030502,49.282826,-123.104485,316_ThuNov12
#1E191C,49.300000,-123.140000,316_ThuNov12
#13060F,49.278604,-123.125696,316_ThuNov12
#0E0608,49.284042,-123.107463,316_ThuNov12
#100809,49.276100,-123.121140,316_ThuNov12
#1D060F,49.300000,-123.140000,316_ThuNov12
#050101,49.271856,-123.135008,316_ThuNov12
#020302,49.279919,-123.120590,316_ThuNov12
#030202,49.276524,-123.100084,316_ThuNov12
#7E0F1C,49.278604,-123.125696,316_ThuNov12
#170D10,49.270592,-123.145973,316_ThuNov12
#030101,49.270460,-123.100585,316_ThuNov12
#020102,49.270592,-123.145973,316_ThuNov12
#010101,49.270592,-123.145973,316_ThuNov12
#171012,49.270592,-123.145973,316_ThuNov12
#020101,49.289583,-123.117410,316_ThuNov12
#7D6C78,49.274445,-123.123054,316_ThuNov12
#030303,49.275349,-123.080353,316_ThuNov12
#010101,49.250000,-123.100000,316_ThuNov12
#040506,49.250000,-123.100000,316_ThuNov12
#F9ECF0,49.280096,-123.120196,316_ThuNov12
#10110C,49.271156,-123.139790,316_ThuNov12
#1E0720,49.287441,-123.141958,316_ThuNov12
#0A0405,49.284572,-123.124657,316_ThuNov12
#B88BA0,49.285961,-123.127028,316_ThuNov12
#010101,49.273352,-123.132881,316_ThuNov12
#C1CBC9,49.282124,-123.120682,316_ThuNov12
#060402,49.242222,-123.115000,316_ThuNov12
#010101,49.283484,-123.104265,316_ThuNov12
#86908F,49.279677,-123.119916,316_ThuNov12
#1B1C1A,49.284572,-123.124657,316_ThuNov12
#AA8988,49.272625,-123.135620,316_ThuNov12
#070707,49.279828,-123.121642,316_ThuNov12
#020101,49.287318,-123.109527,316_ThuNov12
#BACFC8,49.279573,-123.138529,316_ThuNov12
#5CB5BD,49.283880,-123.105830,316_ThuNov12
#1D050C,49.282132,-123.119343,316_ThuNov12
#BACEC8,49.279573,-123.138529,316_ThuNov12
#1A1B15,49.293751,-123.149306,316_ThuNov12
#9F7698,49.300000,-123.140000,316_ThuNov12
#977698,49.250000,-123.100000,316_ThuNov12
#040201,49.279919,-123.120590,316_ThuNov12
#310511,49.248142,-123.100906,316_ThuNov12
#000000,49.275604,-123.121522,316_ThuNov12
#040A08,49.282116,-123.099838,316_ThuNov12
#877378,49.263957,-123.114953,316_ThuNov12
#030101,49.279919,-123.120590,316_ThuNov12
#0E0509,49.282234,-123.124434,316_ThuNov12
#DDA4B1,49.281067,-123.102051,316_ThuNov12
#010000,49.274188,-123.123598,316_ThuNov12
#020202,49.282959,-123.115181,316_ThuNov12
#020001,49.270833,-123.106667,316_ThuNov12
#070806,49.284042,-123.107463,316_ThuNov12
#0F0708,49.250000,-123.100000,316_ThuNov12
#020202,49.282826,-123.104485,316_ThuNov12
#E17CA2,49.282234,-123.124434,316_ThuNov12
#0E0C0C,49.267227,-123.113930,316_ThuNov12
#070301,49.250000,-123.100000,316_ThuNov12
#110C0B,49.287441,-123.141958,316_ThuNov12
#F6F3F4,49.275051,-123.121628,316_ThuNov12
#E8E8E6,49.284439,-123.110268,316_ThuNov12
#050303,49.273201,-123.151756,316_ThuNov12
#090205,49.278038,-123.109234,316_ThuNov12
#171010,49.276395,-123.103754,316_ThuNov12
#115923,49.277778,-123.143333,316_ThuNov12
#030502,49.283995,-123.110176,316_ThuNov12
#1A0708,49.283573,-123.103950,316_ThuNov12
#030201,49.250000,-123.100000,316_ThuNov12
#010101,49.281765,-123.107483,316_ThuNov12
