color,lat,long,date
#000101,49.280096,-123.120196,317_FriNov13
#D20101,49.250000,-123.100000,317_FriNov13
#080404,49.263481,-123.120479,317_FriNov13
#949897,49.250000,-123.100000,317_FriNov13
#24AA57,49.289711,-123.116074,317_FriNov13
#040001,49.284016,-123.114159,317_FriNov13
#BDC1C2,49.275349,-123.080353,317_FriNov13
#030101,49.282749,-123.109100,317_FriNov13
#AC6185,49.287999,-123.137446,317_FriNov13
#060303,49.279919,-123.120590,317_FriNov13
#000100,49.282244,-123.121151,317_FriNov13
#020303,49.279919,-123.120590,317_FriNov13
#040401,49.288033,-123.114475,317_FriNov13
#000000,49.271856,-123.135008,317_FriNov13
#F8F8FB,49.276524,-123.100084,317_FriNov13
#040202,49.279796,-123.121661,317_FriNov13
#110A0A,49.280371,-123.129529,317_FriNov13
#F6F0F3,49.280371,-123.129529,317_FriNov13
#D2D2D1,49.284042,-123.107463,317_FriNov13
#021805,49.288033,-123.114475,317_FriNov13
#010101,49.250000,-123.100000,317_FriNov13
#1F1B19,49.250000,-123.100000,317_FriNov13
#A81A51,49.250000,-123.100000,317_FriNov13
#B47A8B,49.279491,-123.124191,317_FriNov13
#12070A,49.284599,-123.108887,317_FriNov13
#A59697,49.242222,-123.115000,317_FriNov13
#0C0509,49.250000,-123.100000,317_FriNov13
#C4CEC8,49.300000,-123.140000,317_FriNov13
#020503,49.279690,-123.097519,317_FriNov13
#020102,49.250000,-123.100000,317_FriNov13
#120105,49.287441,-123.141958,317_FriNov13
#020101,49.234852,-123.156418,317_FriNov13
#947282,49.249769,-123.115547,317_FriNov13
#040102,49.276894,-123.119896,317_FriNov13
#BB819E,49.275173,-123.120865,317_FriNov13
#8B7290,49.283642,-123.106773,317_FriNov13
#0C0E0C,49.250000,-123.100000,317_FriNov13
#12080D,49.276203,-123.125030,317_FriNov13
#22050D,49.287431,-123.112809,317_FriNov13
#919BA7,49.251441,-123.097717,317_FriNov13
#090305,49.279617,-123.101364,317_FriNov13
#010501,49.280248,-123.114811,317_FriNov13
#050203,49.284661,-123.112716,317_FriNov13
#D0AAC2,49.271856,-123.135008,317_FriNov13
#080907,49.279121,-123.123505,317_FriNov13
#FDFDFD,49.250000,-123.100000,317_FriNov13
#1C0A10,49.271790,-123.105713,317_FriNov13
#0B0305,49.273353,-123.103411,317_FriNov13
#16120E,49.250000,-123.100000,317_FriNov13
#0F060B,49.250000,-123.100000,317_FriNov13
#12070A,49.283149,-123.118043,317_FriNov13
#010101,49.279610,-123.113098,317_FriNov13
#9C6E79,49.288033,-123.114475,317_FriNov13
#625A5E,49.250000,-123.100000,317_FriNov13
#030802,49.282749,-123.109100,317_FriNov13
#BC5985,49.278889,-123.123314,317_FriNov13
#0B1105,49.279796,-123.121661,317_FriNov13
#18050C,49.282663,-123.124930,317_FriNov13
#040202,49.282799,-123.104073,317_FriNov13
#011004,49.285833,-123.111667,317_FriNov13
