color,lat,long,date
#DEB3CF,49.284752,-123.114418,325_SatNov21
#020102,49.289085,-123.132637,325_SatNov21
#0A0C07,49.234703,-123.153572,325_SatNov21
#0A0304,49.277060,-123.080320,325_SatNov21
#120309,49.227940,-123.090286,325_SatNov21
#080905,49.288128,-123.114868,325_SatNov21
#090607,49.280491,-123.120567,325_SatNov21
#560815,49.227940,-123.090286,325_SatNov21
#170B0F,49.274642,-123.122509,325_SatNov21
#050203,49.271856,-123.135008,325_SatNov21
#000100,49.250000,-123.100000,325_SatNov21
#020201,49.283718,-123.121109,325_SatNov21
#5D5D5D,49.279312,-123.119591,325_SatNov21
#848484,49.282340,-123.108965,325_SatNov21
#020001,49.227940,-123.090286,325_SatNov21
#000000,49.276385,-123.103017,325_SatNov21
#030102,49.250000,-123.100000,325_SatNov21
#100F11,49.275349,-123.080353,325_SatNov21
#6F8F86,49.250000,-123.100000,325_SatNov21
#030604,49.250000,-123.100000,325_SatNov21
#0E0A0B,49.250000,-123.100000,325_SatNov21
#750A1C,49.282051,-123.107887,325_SatNov21
#7E576B,49.250000,-123.100000,325_SatNov21
#E1B1D2,49.259583,-123.099841,325_SatNov21
#060706,49.283283,-123.098007,325_SatNov21
#640814,49.227940,-123.090286,325_SatNov21
#020301,49.246155,-123.101036,325_SatNov21
#C6A7B2,49.250000,-123.100000,325_SatNov21
#050405,49.284691,-123.114510,325_SatNov21
#020501,49.282219,-123.134659,325_SatNov21
#DEA6DA,49.280987,-123.129819,325_SatNov21
#010100,49.280491,-123.120567,325_SatNov21
#030101,49.283718,-123.121109,325_SatNov21
#030202,49.275153,-123.110006,325_SatNov21
#1C1019,49.279677,-123.119916,325_SatNov21
#140911,49.300000,-123.140000,325_SatNov21
#050203,49.264895,-123.069458,325_SatNov21
#0F0205,49.280100,-123.112800,325_SatNov21
#030204,49.250000,-123.100000,325_SatNov21
#011501,49.277950,-123.113739,325_SatNov21
#786476,49.275349,-123.080353,325_SatNov21
#BC5E86,49.281650,-123.121071,325_SatNov21
#010101,49.280100,-123.112800,325_SatNov21
#F6F0F4,49.265060,-123.112137,325_SatNov21
#050102,49.275349,-123.080353,325_SatNov21
#070000,49.254256,-123.115038,325_SatNov21
#030201,49.285017,-123.119924,325_SatNov21
#010101,49.250000,-123.100000,325_SatNov21
#EEB3CD,49.290365,-123.133573,325_SatNov21
#020000,49.280100,-123.112800,325_SatNov21
#7E5D70,49.287431,-123.112809,325_SatNov21
#040001,49.280371,-123.129529,325_SatNov21
#030202,49.275452,-123.121330,325_SatNov21
#560312,49.283588,-123.113770,325_SatNov21
#020101,49.289711,-123.116074,325_SatNov21
#010201,49.250000,-123.100000,325_SatNov21
#C3A2BF,49.285339,-123.115372,325_SatNov21
#B7A9BC,49.284264,-123.109198,325_SatNov21
#E1BED6,49.284672,-123.109268,325_SatNov21
#010101,49.284439,-123.110268,325_SatNov21
#010100,49.280491,-123.120567,325_SatNov21
#BD7EA3,49.283588,-123.113770,325_SatNov21
#030103,49.279796,-123.121661,325_SatNov21
#94204F,49.227940,-123.090286,325_SatNov21
#19080C,49.285856,-123.127205,325_SatNov21
#040404,49.283440,-123.118910,325_SatNov21
#7E6F83,49.280491,-123.120567,325_SatNov21
#625E60,49.270690,-123.146600,325_SatNov21
#130407,49.250000,-123.100000,325_SatNov21
#0C0406,49.286451,-123.124738,325_SatNov21
#0C0D0A,49.304062,-123.156487,325_SatNov21
#020101,49.250000,-123.100000,325_SatNov21
#D3D3D3,49.271856,-123.135008,325_SatNov21
#010201,49.250000,-123.100000,325_SatNov21
#020202,49.282834,-123.120458,325_SatNov21
#02BE04,49.275349,-123.080353,325_SatNov21
#060606,49.288071,-123.130814,325_SatNov21
#B37877,49.280248,-123.114811,325_SatNov21
#030101,49.266361,-123.138596,325_SatNov21
#060405,49.290610,-123.137140,325_SatNov21
#040302,49.285610,-123.126968,325_SatNov21
#010101,49.265327,-123.100655,325_SatNov21
#040102,49.282791,-123.104485,325_SatNov21
#0A0F0E,49.271856,-123.135008,325_SatNov21
#12090F,49.281380,-123.085930,325_SatNov21
#33301A,49.280491,-123.120567,325_SatNov21
#030302,49.250000,-123.100000,325_SatNov21
#F5F6F6,49.279669,-123.122709,325_SatNov21
#010101,49.280720,-123.121391,325_SatNov21
#050302,49.279827,-123.116577,325_SatNov21
#0F1210,49.300000,-123.140000,325_SatNov21
#D9C5DD,49.273945,-123.076973,325_SatNov21
#140407,49.275349,-123.080353,325_SatNov21
#7DCDA9,49.288128,-123.114868,325_SatNov21
#541C18,49.279617,-123.101364,325_SatNov21
#F1E9ED,49.250000,-123.100000,325_SatNov21
#13060B,49.284210,-123.108531,325_SatNov21
#1F642A,49.278151,-123.148765,325_SatNov21
#090406,49.281582,-123.132782,325_SatNov21
#F5F0F3,49.280159,-123.122253,325_SatNov21
#010101,49.280491,-123.120567,325_SatNov21
#020202,49.281929,-123.100098,325_SatNov21
#030102,49.282257,-123.133820,325_SatNov21
#010400,49.275349,-123.080353,325_SatNov21
#120B07,49.275349,-123.080353,325_SatNov21
#B07EA5,49.284565,-123.110821,325_SatNov21
#8A5A27,49.280491,-123.120567,325_SatNov21
#F3ECF1,49.250000,-123.100000,325_SatNov21
#BE79B0,49.275349,-123.080353,325_SatNov21
#040202,49.250000,-123.100000,325_SatNov21
#715760,49.276090,-123.119290,325_SatNov21
#7B6C7C,49.250000,-123.100000,325_SatNov21
#020200,49.227564,-123.115014,325_SatNov21
#040203,49.271856,-123.135008,325_SatNov21
#A2747F,49.283991,-123.109813,325_SatNov21
#020102,49.285183,-123.124852,325_SatNov21
#F5F3F9,49.290437,-123.121587,325_SatNov21
#080C07,49.282136,-123.107835,325_SatNov21
#1C0208,49.287476,-123.128960,325_SatNov21
#BDB4BD,49.268658,-123.098122,325_SatNov21
#040303,49.282799,-123.104073,325_SatNov21
#7D1A5B,49.276173,-123.079216,325_SatNov21
#040401,49.281582,-123.132782,325_SatNov21
#0C0605,49.280067,-123.103790,325_SatNov21
#0A0607,49.286228,-123.143023,325_SatNov21
#060403,49.272697,-123.152794,325_SatNov21
#020402,49.280491,-123.120567,325_SatNov21
#160C0F,49.281379,-123.071924,325_SatNov21
#010401,49.280804,-123.107742,325_SatNov21
#DF70A9,49.276173,-123.079216,325_SatNov21
#040303,49.282136,-123.107835,325_SatNov21
#090909,49.271580,-123.106979,325_SatNov21
#13060A,49.263401,-123.117020,325_SatNov21
#050604,49.282811,-123.123575,325_SatNov21
#020201,49.283807,-123.122057,325_SatNov21
#010101,49.247222,-123.125833,325_SatNov21
#51B27F,49.250000,-123.100000,325_SatNov21
#000100,49.280491,-123.120567,325_SatNov21
#D5E4D8,49.287431,-123.112809,325_SatNov21
#010001,49.279677,-123.119916,325_SatNov21
#0F0609,49.285856,-123.127205,325_SatNov21
