color,lat,long,date
#070305,49.281685,-123.132942,326_SunNov22
#0E0A02,49.280720,-123.121391,326_SunNov22
#010101,49.281503,-123.101743,326_SunNov22
#957992,49.250000,-123.100000,326_SunNov22
#CB6CA9,49.250000,-123.100000,326_SunNov22
#060303,49.250000,-123.100000,326_SunNov22
#040E08,49.250000,-123.100000,326_SunNov22
#030202,49.289167,-123.113797,326_SunNov22
#010101,49.278038,-123.109234,326_SunNov22
#020101,49.284042,-123.107463,326_SunNov22
#030202,49.284042,-123.107463,326_SunNov22
#010101,49.282698,-123.128576,326_SunNov22
#D3D6CE,49.250000,-123.100000,326_SunNov22
#080808,49.275452,-123.121330,326_SunNov22
#EFF1F0,49.280376,-123.113297,326_SunNov22
#020202,49.279444,-123.109444,326_SunNov22
#080D07,49.275982,-123.120163,326_SunNov22
#E3E4E3,49.284000,-123.141899,326_SunNov22
#020402,49.289167,-123.113797,326_SunNov22
#150507,49.277992,-123.109113,326_SunNov22
#040402,49.272442,-123.095711,326_SunNov22
#D0AAC5,49.275349,-123.080353,326_SunNov22
#1C0909,49.256138,-123.101051,326_SunNov22
#030101,49.278038,-123.109234,326_SunNov22
#605C5E,49.245830,-123.094177,326_SunNov22
#040101,49.282127,-123.133621,326_SunNov22
#9B7892,49.280100,-123.112800,326_SunNov22
#010102,49.272625,-123.135620,326_SunNov22
#080B07,49.289760,-123.118960,326_SunNov22
#C280B0,49.289085,-123.132637,326_SunNov22
#010101,49.281929,-123.100098,326_SunNov22
#0E680C,49.277988,-123.110321,326_SunNov22
#020101,49.274932,-123.121599,326_SunNov22
#040404,49.279539,-123.077766,326_SunNov22
#020101,49.246487,-123.101028,326_SunNov22
#020202,49.270655,-123.106396,326_SunNov22
#000600,49.260307,-123.096275,326_SunNov22
#0D0404,49.276318,-123.119667,326_SunNov22
#030303,49.289167,-123.113797,326_SunNov22
#1C0303,49.283169,-123.102859,326_SunNov22
#030603,49.264240,-123.101410,326_SunNov22
#0C0602,49.277157,-123.125916,326_SunNov22
#010000,49.264240,-123.101410,326_SunNov22
#000000,49.250000,-123.100000,326_SunNov22
#030201,49.274932,-123.121599,326_SunNov22
#0C0C0A,49.281944,-123.121944,326_SunNov22
#1A0811,49.267929,-123.157021,326_SunNov22
#D8F0D7,49.250000,-123.100000,326_SunNov22
#688270,49.250000,-123.100000,326_SunNov22
#030101,49.250000,-123.100000,326_SunNov22
#9F6B7B,49.279121,-123.123505,326_SunNov22
#030202,49.271856,-123.135008,326_SunNov22
#120405,49.264248,-123.110818,326_SunNov22
#020601,49.276413,-123.103992,326_SunNov22
#020301,49.276225,-123.102867,326_SunNov22
#080405,49.283630,-123.106369,326_SunNov22
#020101,49.280376,-123.113297,326_SunNov22
#020201,49.280720,-123.121391,326_SunNov22
#8A5F6D,49.289167,-123.113797,326_SunNov22
#040303,49.283142,-123.103722,326_SunNov22
#091610,49.283797,-123.112682,326_SunNov22
#014B0B,49.250000,-123.100000,326_SunNov22
#8E8678,49.272551,-123.133049,326_SunNov22
#050604,49.281044,-123.079275,326_SunNov22
#84968D,49.300000,-123.140000,326_SunNov22
#0E0C0C,49.278553,-123.115768,326_SunNov22
#FDFCFD,49.250000,-123.100000,326_SunNov22
#CDC6D3,49.250000,-123.100000,326_SunNov22
#A98BA1,49.278774,-123.124023,326_SunNov22
#DDB6CE,49.278774,-123.124023,326_SunNov22
#030202,49.276225,-123.102867,326_SunNov22
#030302,49.277706,-123.125633,326_SunNov22
#9B677E,49.282124,-123.120682,326_SunNov22
