color,lat,long,date
#849393,49.287399,-123.125815,341_MonDec7
#190407,49.287431,-123.112809,341_MonDec7
#EAEDEC,49.287441,-123.141958,341_MonDec7
#1E191E,49.287399,-123.125815,341_MonDec7
#020101,49.234829,-123.154411,341_MonDec7
#020303,49.268013,-123.154892,341_MonDec7
#020101,49.250000,-123.100000,341_MonDec7
#030101,49.238990,-123.129839,341_MonDec7
#030202,49.270833,-123.106667,341_MonDec7
#19090E,49.270237,-123.134750,341_MonDec7
#050203,49.283129,-123.105364,341_MonDec7
#FBF7F9,49.274774,-123.118720,341_MonDec7
#030302,49.284433,-123.122158,341_MonDec7
#050505,49.263351,-123.125471,341_MonDec7
#150F11,49.279573,-123.138529,341_MonDec7
#12060A,49.275837,-123.122124,341_MonDec7
#030202,49.282811,-123.123575,341_MonDec7
#000F00,49.280404,-123.121227,341_MonDec7
#1B0A0B,49.278665,-123.126463,341_MonDec7
#03721D,49.279573,-123.138529,341_MonDec7
#52172C,49.282791,-123.104782,341_MonDec7
#030202,49.282811,-123.123575,341_MonDec7
#050304,49.250000,-123.100000,341_MonDec7
#030202,49.282811,-123.123575,341_MonDec7
#7F897F,49.285091,-123.105553,341_MonDec7
#A86187,49.280563,-123.109177,341_MonDec7
#0C0405,49.267101,-123.103561,341_MonDec7
#010101,49.274188,-123.123598,341_MonDec7
#020301,49.275726,-123.120552,341_MonDec7
#020403,49.286556,-123.142616,341_MonDec7
#020101,49.274774,-123.118720,341_MonDec7
#060205,49.287441,-123.141958,341_MonDec7
#100307,49.250000,-123.100000,341_MonDec7
#051708,49.281742,-123.133359,341_MonDec7
#010101,49.248634,-123.152152,341_MonDec7
#040102,49.282698,-123.128576,341_MonDec7
#5DA27E,49.300000,-123.140000,341_MonDec7
#070B02,49.250000,-123.100000,341_MonDec7
#090806,49.300000,-123.140000,341_MonDec7
#030202,49.268357,-123.152373,341_MonDec7
#040502,49.275604,-123.121522,341_MonDec7
#120A0F,49.278665,-123.126463,341_MonDec7
#020102,49.282047,-123.133499,341_MonDec7
#090909,49.283129,-123.105364,341_MonDec7
#080707,49.250000,-123.100000,341_MonDec7
#191D17,49.271856,-123.135008,341_MonDec7
#7F114E,49.250000,-123.100000,341_MonDec7
#030200,49.279810,-123.121969,341_MonDec7
#010200,49.238990,-123.129839,341_MonDec7
#050303,49.285192,-123.111250,341_MonDec7
#11080C,49.264671,-123.114647,341_MonDec7
#030402,49.288639,-123.142418,341_MonDec7
#BD7DA0,49.290722,-123.133995,341_MonDec7
#020703,49.250000,-123.100000,341_MonDec7
#010302,49.238990,-123.129839,341_MonDec7
#080305,49.292621,-123.127461,341_MonDec7
#BB72A1,49.250000,-123.100000,341_MonDec7
#0B0B0D,49.278665,-123.126463,341_MonDec7
#FBDDF4,49.278938,-123.123251,341_MonDec7
#020102,49.237985,-123.075757,341_MonDec7
#10120E,49.282039,-123.099933,341_MonDec7
#040204,49.289719,-123.133301,341_MonDec7
#020302,49.285616,-123.120157,341_MonDec7
#B77590,49.250000,-123.100000,341_MonDec7
#D1DCD7,49.271856,-123.135008,341_MonDec7
#000000,49.279828,-123.121642,341_MonDec7
#1F0103,49.284153,-123.097755,341_MonDec7
#19080A,49.282318,-123.122810,341_MonDec7
#221518,49.272312,-123.128288,341_MonDec7
#020302,49.270556,-123.133333,341_MonDec7
#977A8A,49.278665,-123.126463,341_MonDec7
#8C8386,49.283401,-123.117752,341_MonDec7
#8C0D1C,49.250362,-123.076248,341_MonDec7
#140509,49.268967,-123.102936,341_MonDec7
#020402,49.250000,-123.100000,341_MonDec7
#FAFAF9,49.288563,-123.138597,341_MonDec7
#BAA9B8,49.284153,-123.097755,341_MonDec7
#9F749A,49.284473,-123.122284,341_MonDec7
#EF9ECC,49.275009,-123.122002,341_MonDec7
#030202,49.274774,-123.118720,341_MonDec7
#0C1004,49.276225,-123.102867,341_MonDec7
#100B15,49.288685,-123.131409,341_MonDec7
#B296AD,49.276352,-123.119621,341_MonDec7
#151813,49.285141,-123.113052,341_MonDec7
#655766,49.284020,-123.112500,341_MonDec7
#150E14,49.278665,-123.126463,341_MonDec7
#010405,49.282834,-123.120458,341_MonDec7
#E4E4E0,49.277709,-123.118509,341_MonDec7
#070405,49.284792,-123.115374,341_MonDec7
#BF8FB8,49.284153,-123.097755,341_MonDec7
#020202,49.273353,-123.103411,341_MonDec7
#D978A3,49.276352,-123.119621,341_MonDec7
#140C1B,49.277302,-123.125947,341_MonDec7
#987584,49.284836,-123.122967,341_MonDec7
#0B0406,49.288311,-123.116730,341_MonDec7
#040303,49.276352,-123.119621,341_MonDec7
#0F0E07,49.269520,-123.103729,341_MonDec7
#040202,49.287029,-123.115623,341_MonDec7
#AC7D94,49.282780,-123.091942,341_MonDec7
