color,lat,long,date
#CBD5D3,49.250000,-123.100000,342_TueDec8
#10050E,49.284572,-123.124657,342_TueDec8
#010101,49.283022,-123.115121,342_TueDec8
#060204,49.288559,-123.120972,342_TueDec8
#1F1F1F,49.275726,-123.120552,342_TueDec8
#000201,49.276809,-123.112154,342_TueDec8
#BCE8D8,49.282124,-123.120682,342_TueDec8
#CEEDCB,49.261200,-123.123056,342_TueDec8
#29BA6C,49.263466,-123.100739,342_TueDec8
#040302,49.285400,-123.142158,342_TueDec8
#040303,49.270833,-123.106667,342_TueDec8
#020102,49.271856,-123.135008,342_TueDec8
#0F0C0D,49.284572,-123.124657,342_TueDec8
#63485C,49.250000,-123.100000,342_TueDec8
#050404,49.273353,-123.103411,342_TueDec8
#1A1214,49.250000,-123.100000,342_TueDec8
#050505,49.276100,-123.121140,342_TueDec8
#070B09,49.280404,-123.121227,342_TueDec8
#0F1E15,49.277992,-123.109113,342_TueDec8
#050401,49.277992,-123.109113,342_TueDec8
#11B926,49.241141,-123.137562,342_TueDec8
#ADACAF,49.280404,-123.121227,342_TueDec8
#BBBBBB,49.286210,-123.142385,342_TueDec8
#050303,49.250000,-123.100000,342_TueDec8
#050405,49.282124,-123.120682,342_TueDec8
#040504,49.278038,-123.109234,342_TueDec8
#E4C7D8,49.250000,-123.100000,342_TueDec8
#010101,49.280499,-123.121036,342_TueDec8
#040404,49.276520,-123.100632,342_TueDec8
#790707,49.248634,-123.152152,342_TueDec8
#010101,49.271856,-123.135008,342_TueDec8
#D69BBF,49.250000,-123.100000,342_TueDec8
#9C788D,49.278038,-123.109234,342_TueDec8
#251E23,49.282193,-123.118074,342_TueDec8
#D3DAD7,49.275219,-123.123123,342_TueDec8
#180D10,49.284538,-123.122009,342_TueDec8
#030503,49.280499,-123.121036,342_TueDec8
#020101,49.277992,-123.109113,342_TueDec8
#F29DEF,49.250000,-123.100000,342_TueDec8
#1A0C0E,49.284538,-123.122009,342_TueDec8
#7A506C,49.250000,-123.100000,342_TueDec8
#030203,49.269911,-123.135094,342_TueDec8
#020202,49.278038,-123.109234,342_TueDec8
#040403,49.261267,-123.124407,342_TueDec8
#758E84,49.216901,-123.077238,342_TueDec8
#1B0407,49.280499,-123.121036,342_TueDec8
#040303,49.276558,-123.116604,342_TueDec8
#027B08,49.272371,-123.155158,342_TueDec8
#080304,49.282051,-123.120850,342_TueDec8
#020202,49.289711,-123.116074,342_TueDec8
#DA8DB2,49.291437,-123.136592,342_TueDec8
#96576C,49.282124,-123.120682,342_TueDec8
#020102,49.278038,-123.109234,342_TueDec8
#866376,49.281596,-123.115651,342_TueDec8
#160508,49.263523,-123.139489,342_TueDec8
#070706,49.303227,-123.130853,342_TueDec8
#030102,49.280248,-123.114811,342_TueDec8
#110F06,49.250000,-123.100000,342_TueDec8
#D3BFD8,49.278038,-123.109234,342_TueDec8
#020403,49.280045,-123.127643,342_TueDec8
#B9B9B9,49.250000,-123.100000,342_TueDec8
#BFBEC0,49.278038,-123.109234,342_TueDec8
#0A0406,49.250000,-123.100000,342_TueDec8
#030202,49.278038,-123.109234,342_TueDec8
#030503,49.250000,-123.100000,342_TueDec8
#0D0307,49.283668,-123.109625,342_TueDec8
#1B0708,49.290106,-123.132890,342_TueDec8
#091005,49.263341,-123.115911,342_TueDec8
#030203,49.278038,-123.109234,342_TueDec8
#C8C3C5,49.277988,-123.110321,342_TueDec8
#040203,49.278038,-123.109234,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#050605,49.250000,-123.100000,342_TueDec8
#0B050C,49.227708,-123.090645,342_TueDec8
#020101,49.280376,-123.113297,342_TueDec8
#F4F2F4,49.278038,-123.109234,342_TueDec8
#030202,49.274550,-123.121900,342_TueDec8
#1C1C1C,49.250000,-123.100000,342_TueDec8
#6B6169,49.250000,-123.100000,342_TueDec8
#010101,49.270984,-123.087410,342_TueDec8
#020101,49.300000,-123.140000,342_TueDec8
#020302,49.281944,-123.121944,342_TueDec8
#784266,49.250000,-123.100000,342_TueDec8
#0D060C,49.290817,-123.123201,342_TueDec8
#050503,49.284462,-123.110237,342_TueDec8
#050E04,49.260307,-123.096275,342_TueDec8
#AA9AA3,49.282120,-123.109520,342_TueDec8
#090905,49.268494,-123.069511,342_TueDec8
#010000,49.279677,-123.119916,342_TueDec8
#08160A,49.276809,-123.112154,342_TueDec8
#D09DAA,49.240738,-123.101625,342_TueDec8
#A2949E,49.250000,-123.100000,342_TueDec8
#030202,49.280659,-123.100861,342_TueDec8
#010001,49.278038,-123.109234,342_TueDec8
#A88185,49.250000,-123.100000,342_TueDec8
#010101,49.278397,-123.099243,342_TueDec8
#040403,49.250000,-123.100000,342_TueDec8
#724E5F,49.259449,-123.139152,342_TueDec8
#040503,49.281723,-123.120350,342_TueDec8
#010100,49.280491,-123.120567,342_TueDec8
#010000,49.279310,-123.100782,342_TueDec8
#020202,49.250000,-123.100000,342_TueDec8
#060301,49.280109,-123.128975,342_TueDec8
#130509,49.262493,-123.138405,342_TueDec8
#AFC8C3,49.280404,-123.121227,342_TueDec8
#FDFBFC,49.272312,-123.128288,342_TueDec8
#050101,49.250000,-123.100000,342_TueDec8
#010100,49.278038,-123.109234,342_TueDec8
#0F0E06,49.280376,-123.113297,342_TueDec8
#020101,49.284962,-123.124396,342_TueDec8
#020502,49.250000,-123.100000,342_TueDec8
#1C0209,49.275726,-123.120552,342_TueDec8
#EAA4C0,49.283935,-123.125534,342_TueDec8
#0F0A09,49.283428,-123.102821,342_TueDec8
#091303,49.279758,-123.121886,342_TueDec8
#E2DEDF,49.283752,-123.119673,342_TueDec8
#010101,49.278038,-123.109234,342_TueDec8
#090507,49.279617,-123.101364,342_TueDec8
#100507,49.263351,-123.125471,342_TueDec8
#B2245E,49.284962,-123.124396,342_TueDec8
#010001,49.238990,-123.129839,342_TueDec8
#040202,49.278038,-123.109234,342_TueDec8
#030402,49.281056,-123.102051,342_TueDec8
#C6C8C7,49.250000,-123.100000,342_TueDec8
#F7F7F8,49.250000,-123.100000,342_TueDec8
#000100,49.281312,-123.087722,342_TueDec8
#211C1E,49.287656,-123.126334,342_TueDec8
#B3B3B3,49.282834,-123.120458,342_TueDec8
#020102,49.266383,-123.102605,342_TueDec8
#BCDAD3,49.300000,-123.140000,342_TueDec8
#030202,49.277988,-123.110321,342_TueDec8
#020101,49.232037,-123.157140,342_TueDec8
#040403,49.279085,-123.122717,342_TueDec8
#011602,49.279270,-123.129776,342_TueDec8
#0C0807,49.270966,-123.155212,342_TueDec8
#100309,49.284042,-123.107463,342_TueDec8
#DCF0F2,49.289711,-123.116074,342_TueDec8
#050404,49.277988,-123.110321,342_TueDec8
#010000,49.298909,-123.140010,342_TueDec8
#A58A9A,49.290045,-123.125216,342_TueDec8
#080E00,49.260307,-123.096275,342_TueDec8
#01B512,49.279677,-123.119916,342_TueDec8
#160309,49.287224,-123.113916,342_TueDec8
#050503,49.300629,-123.117593,342_TueDec8
#020001,49.250000,-123.100000,342_TueDec8
#000100,49.281312,-123.087722,342_TueDec8
#13080A,49.250000,-123.100000,342_TueDec8
#010100,49.250000,-123.100000,342_TueDec8
#748D7A,49.278038,-123.109234,342_TueDec8
#83848B,49.250000,-123.100000,342_TueDec8
#030302,49.278038,-123.109234,342_TueDec8
#030101,49.280096,-123.120196,342_TueDec8
#030202,49.278545,-123.123833,342_TueDec8
#060501,49.282826,-123.104485,342_TueDec8
#010301,49.277988,-123.110321,342_TueDec8
#DEC2C9,49.278038,-123.109234,342_TueDec8
#060605,49.283120,-123.101914,342_TueDec8
#E8E4E8,49.284069,-123.090881,342_TueDec8
#1C1918,49.278604,-123.125696,342_TueDec8
#160103,49.268215,-123.150085,342_TueDec8
#030102,49.250000,-123.100000,342_TueDec8
#0E090C,49.278604,-123.125696,342_TueDec8
#020605,49.300743,-123.130331,342_TueDec8
#000100,49.260307,-123.096275,342_TueDec8
#C2FBEF,49.288033,-123.114475,342_TueDec8
#090807,49.284572,-123.124657,342_TueDec8
#051D02,49.238990,-123.129839,342_TueDec8
#E7DDD8,49.271856,-123.135008,342_TueDec8
#1D0D0C,49.284599,-123.108887,342_TueDec8
#1E1213,49.277728,-123.096945,342_TueDec8
#644D5C,49.284903,-123.091496,342_TueDec8
#120D0A,49.264671,-123.114647,342_TueDec8
#A6135A,49.263035,-123.112511,342_TueDec8
#010402,49.280404,-123.121227,342_TueDec8
#CEC0C6,49.250000,-123.100000,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#D1DDD7,49.281056,-123.102051,342_TueDec8
#160614,49.267769,-123.146744,342_TueDec8
#020101,49.280209,-123.118279,342_TueDec8
#020101,49.284962,-123.124396,342_TueDec8
#B09FB1,49.250000,-123.100000,342_TueDec8
#030402,49.257092,-123.100853,342_TueDec8
#040103,49.284599,-123.108887,342_TueDec8
#D2D2D2,49.250000,-123.100000,342_TueDec8
#090507,49.280376,-123.113297,342_TueDec8
#715265,49.270556,-123.133333,342_TueDec8
#160A0C,49.277988,-123.110321,342_TueDec8
#191015,49.278294,-123.131712,342_TueDec8
#010502,49.280376,-123.113297,342_TueDec8
#B5CFC0,49.272015,-123.125992,342_TueDec8
#020301,49.300629,-123.117593,342_TueDec8
#CAA0B9,49.250000,-123.100000,342_TueDec8
#030503,49.300629,-123.117593,342_TueDec8
#B86B94,49.267769,-123.146744,342_TueDec8
#F3FBF8,49.289711,-123.116074,342_TueDec8
#160C14,49.250000,-123.100000,342_TueDec8
#040F05,49.271856,-123.135008,342_TueDec8
#B16D93,49.268005,-123.147524,342_TueDec8
#758179,49.288641,-123.112765,342_TueDec8
#21171C,49.289857,-123.132223,342_TueDec8
#000100,49.300000,-123.140000,342_TueDec8
#15110D,49.277805,-123.127274,342_TueDec8
#030101,49.289711,-123.116074,342_TueDec8
#0A0C02,49.278038,-123.109234,342_TueDec8
#1F1E1F,49.287656,-123.126334,342_TueDec8
#050A09,49.292465,-123.129150,342_TueDec8
#010101,49.279810,-123.121969,342_TueDec8
#0F110F,49.284572,-123.124657,342_TueDec8
#EAEDE8,49.282556,-123.107694,342_TueDec8
#B2B3B3,49.283688,-123.121143,342_TueDec8
#030202,49.250000,-123.100000,342_TueDec8
#EDE8EA,49.292648,-123.128988,342_TueDec8
#9D8491,49.284792,-123.115374,342_TueDec8
#060103,49.287842,-123.116341,342_TueDec8
#C7C5CC,49.275814,-123.099678,342_TueDec8
#050503,49.284111,-123.111565,342_TueDec8
#090707,49.284792,-123.115374,342_TueDec8
#A08697,49.275814,-123.099678,342_TueDec8
#E5C9D8,49.282989,-123.124039,342_TueDec8
#141112,49.283185,-123.107820,342_TueDec8
#030402,49.280132,-123.109833,342_TueDec8
#87677E,49.250000,-123.100000,342_TueDec8
#C9D5CE,49.281056,-123.102051,342_TueDec8
#040402,49.280800,-123.120079,342_TueDec8
#1D0206,49.281410,-123.133690,342_TueDec8
#921959,49.281410,-123.133690,342_TueDec8
#997283,49.281410,-123.133690,342_TueDec8
#B05E81,49.281410,-123.133690,342_TueDec8
#AB9B77,49.278038,-123.109234,342_TueDec8
#E9F4EB,49.250000,-123.100000,342_TueDec8
#1F191C,49.284661,-123.112716,342_TueDec8
#071207,49.276809,-123.112154,342_TueDec8
#040403,49.281056,-123.102051,342_TueDec8
#E9F1F2,49.250000,-123.100000,342_TueDec8
#526467,49.300176,-123.151227,342_TueDec8
#0F0B0C,49.263233,-123.116150,342_TueDec8
#0C0F0D,49.278604,-123.125696,342_TueDec8
#726877,49.284661,-123.112716,342_TueDec8
#1C1313,49.288033,-123.114475,342_TueDec8
#020403,49.242222,-123.115000,342_TueDec8
#040202,49.250000,-123.100000,342_TueDec8
#B4E2CD,49.250000,-123.100000,342_TueDec8
#6B7879,49.265704,-123.114683,342_TueDec8
#A5DEA1,49.289711,-123.116074,342_TueDec8
#B16C99,49.250000,-123.100000,342_TueDec8
#0A0707,49.250000,-123.100000,342_TueDec8
#160B0F,49.250000,-123.100000,342_TueDec8
#020601,49.250000,-123.100000,342_TueDec8
#95687D,49.264278,-123.081299,342_TueDec8
#030101,49.284792,-123.115374,342_TueDec8
#020202,49.262140,-123.085600,342_TueDec8
#030102,49.250000,-123.100000,342_TueDec8
#040000,49.280109,-123.128975,342_TueDec8
#010504,49.280781,-123.132072,342_TueDec8
#F0E9E9,49.282040,-123.118492,342_TueDec8
#010000,49.280109,-123.128975,342_TueDec8
#040204,49.250000,-123.100000,342_TueDec8
#040201,49.257355,-123.090080,342_TueDec8
#6D5269,49.300000,-123.140000,342_TueDec8
#040A0C,49.278604,-123.125696,342_TueDec8
#AE589B,49.250000,-123.100000,342_TueDec8
#E1F5E9,49.288128,-123.114868,342_TueDec8
#020401,49.278038,-123.109234,342_TueDec8
#0C5724,49.117164,-125.891125,342_TueDec8
#020101,49.282193,-123.118074,342_TueDec8
#100703,49.269000,-123.074120,342_TueDec8
#E2E1E1,49.281109,-123.071365,342_TueDec8
#766D78,49.279573,-123.138529,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#0B1916,49.265881,-123.138901,342_TueDec8
#100607,49.282028,-123.117691,342_TueDec8
#1D050B,49.263142,-123.130089,342_TueDec8
#99778B,49.248634,-123.152152,342_TueDec8
#090707,49.269719,-123.096130,342_TueDec8
#1A0F14,49.283156,-123.109243,342_TueDec8
#B682A6,49.283100,-123.104393,342_TueDec8
#13080F,49.288313,-123.116881,342_TueDec8
#030102,49.283889,-123.103402,342_TueDec8
#1B1B19,49.245830,-123.094177,342_TueDec8
#060102,49.281769,-123.107613,342_TueDec8
#020202,49.259583,-123.099841,342_TueDec8
#92B49A,49.250000,-123.100000,342_TueDec8
#CCD8DA,49.292648,-123.128988,342_TueDec8
#0A0A0A,49.284042,-123.107463,342_TueDec8
#020201,49.278038,-123.109234,342_TueDec8
#AB5791,49.279938,-123.127022,342_TueDec8
#14040B,49.285063,-123.120397,342_TueDec8
#040001,49.279938,-123.127022,342_TueDec8
#9A616F,49.250000,-123.100000,342_TueDec8
#0E080A,49.294399,-123.136726,342_TueDec8
#29B358,49.275470,-123.136643,342_TueDec8
#1A1214,49.288311,-123.116730,342_TueDec8
#666666,49.280411,-123.109947,342_TueDec8
#AB9DA7,49.250000,-123.100000,342_TueDec8
#090702,49.281593,-123.116981,342_TueDec8
#0D120D,49.277302,-123.125947,342_TueDec8
#030303,49.278038,-123.109234,342_TueDec8
#020303,49.257443,-123.092472,342_TueDec8
#AB7693,49.260872,-123.113953,342_TueDec8
#010501,49.274285,-123.123491,342_TueDec8
#191B1D,49.288033,-123.114475,342_TueDec8
#DED7E3,49.279677,-123.119916,342_TueDec8
#010101,49.284572,-123.124657,342_TueDec8
#060806,49.242911,-123.100297,342_TueDec8
#040502,49.250000,-123.100000,342_TueDec8
#E7E8E6,49.250000,-123.100000,342_TueDec8
#020303,49.283022,-123.115121,342_TueDec8
#49215B,49.281678,-123.133362,342_TueDec8
#101A15,49.276809,-123.112154,342_TueDec8
#C4C4D2,49.278171,-123.121287,342_TueDec8
#B0C4BA,49.271856,-123.135008,342_TueDec8
#F8F5F5,49.270460,-123.100585,342_TueDec8
#CD75A1,49.287762,-123.118332,342_TueDec8
#5B565D,49.276809,-123.112154,342_TueDec8
#0F100B,49.278038,-123.109234,342_TueDec8
#607169,49.300000,-123.140000,342_TueDec8
#050604,49.264111,-123.110169,342_TueDec8
#E40101,49.267410,-123.145439,342_TueDec8
#0B150C,49.278038,-123.109234,342_TueDec8
#120408,49.269001,-123.108803,342_TueDec8
#0A1512,49.264019,-123.105309,342_TueDec8
#0A0807,49.288830,-123.117691,342_TueDec8
#010302,49.283051,-123.110077,342_TueDec8
#040203,49.250000,-123.100000,342_TueDec8
#352D3C,49.250000,-123.100000,342_TueDec8
#030302,49.278038,-123.109234,342_TueDec8
#020302,49.283051,-123.110077,342_TueDec8
#090907,49.300000,-123.140000,342_TueDec8
#010101,49.283051,-123.110077,342_TueDec8
#8A8889,49.300629,-123.117593,342_TueDec8
#C9A1AF,49.250000,-123.100000,342_TueDec8
#1D0409,49.283428,-123.102821,342_TueDec8
#000000,49.289711,-123.116074,342_TueDec8
#E8E3E7,49.283218,-123.122360,342_TueDec8
#0B0808,49.283668,-123.109627,342_TueDec8
#22201E,49.300000,-123.140000,342_TueDec8
#E3DBE2,49.264481,-123.144669,342_TueDec8
#030303,49.282799,-123.109215,342_TueDec8
#1C0B12,49.250000,-123.100000,342_TueDec8
#0A0A0A,49.283218,-123.122360,342_TueDec8
#100408,49.283299,-123.074471,342_TueDec8
#4F5C53,49.250000,-123.100000,342_TueDec8
#010101,49.260307,-123.096275,342_TueDec8
#0F0E09,49.285282,-123.113541,342_TueDec8
#D5D8D7,49.287224,-123.113916,342_TueDec8
#050404,49.218710,-123.102690,342_TueDec8
#0C190C,49.280404,-123.121227,342_TueDec8
#191016,49.272442,-123.095711,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#020102,49.278038,-123.109234,342_TueDec8
#C3B0C0,49.264080,-123.140579,342_TueDec8
#030603,49.256705,-123.099911,342_TueDec8
#0F070A,49.278639,-123.130353,342_TueDec8
#DBD5D3,49.245892,-123.100861,342_TueDec8
#0C090F,49.279796,-123.121661,342_TueDec8
#050203,49.285063,-123.120397,342_TueDec8
#FDFDFD,49.289480,-123.128450,342_TueDec8
#030102,49.262940,-123.117279,342_TueDec8
#040103,49.283100,-123.104393,342_TueDec8
#B0E0BE,49.249904,-123.075554,342_TueDec8
#D1CECB,49.276173,-123.079216,342_TueDec8
#ECE2E9,49.250000,-123.100000,342_TueDec8
#040504,49.288128,-123.114868,342_TueDec8
#B9BAB7,49.284771,-123.117203,342_TueDec8
#020303,49.283022,-123.115121,342_TueDec8
#060203,49.250000,-123.100000,342_TueDec8
#FDFEFD,49.278038,-123.109234,342_TueDec8
#D0C4CC,49.250000,-123.100000,342_TueDec8
#E7E9E7,49.250000,-123.100000,342_TueDec8
#D3B8CC,49.300000,-123.140000,342_TueDec8
#ECECE9,49.284042,-123.107463,342_TueDec8
#D6ACC5,49.250000,-123.100000,342_TueDec8
#F4F2F6,49.292648,-123.128988,342_TueDec8
#201717,49.278038,-123.109234,342_TueDec8
#040101,49.280870,-123.126872,342_TueDec8
#01B672,49.250000,-123.100000,342_TueDec8
#040403,49.281056,-123.102051,342_TueDec8
#100608,49.250000,-123.100000,342_TueDec8
#DEC1B9,49.282120,-123.109520,342_TueDec8
#E1F8F2,49.292648,-123.128988,342_TueDec8
#EDEBEA,49.268658,-123.098122,342_TueDec8
#040503,49.284042,-123.107463,342_TueDec8
#090908,49.284042,-123.107463,342_TueDec8
#BDBEBE,49.289331,-123.117620,342_TueDec8
#08050A,49.250000,-123.100000,342_TueDec8
#19071F,49.244872,-123.108147,342_TueDec8
#171115,49.250000,-123.100000,342_TueDec8
#9C5D83,49.218710,-123.102690,342_TueDec8
#15070D,49.250000,-123.100000,342_TueDec8
#CBC3C5,49.283539,-123.105263,342_TueDec8
#8B7F84,49.283218,-123.122360,342_TueDec8
#140905,49.250000,-123.100000,342_TueDec8
#DF457B,49.263550,-123.155022,342_TueDec8
#0C0705,49.280109,-123.128975,342_TueDec8
#D7D7D7,49.250000,-123.100000,342_TueDec8
#AACCBE,49.290170,-123.118142,342_TueDec8
#A8D3BF,49.289711,-123.116074,342_TueDec8
#030101,49.278952,-123.123126,342_TueDec8
#76978F,49.218710,-123.102690,342_TueDec8
#010101,49.287727,-123.123680,342_TueDec8
#190E13,49.280880,-123.107700,342_TueDec8
#CFA4B7,49.265808,-123.104149,342_TueDec8
#050103,49.250000,-123.100000,342_TueDec8
#A8ADAC,49.288830,-123.117691,342_TueDec8
#A99CA5,49.250000,-123.100000,342_TueDec8
#CE70B0,49.280371,-123.129529,342_TueDec8
#F7F7F7,49.250000,-123.100000,342_TueDec8
#0C0D0C,49.282082,-123.102859,342_TueDec8
#070404,49.282051,-123.120850,342_TueDec8
#53C3B7,49.287441,-123.141958,342_TueDec8
#A289A2,49.254726,-123.114944,342_TueDec8
#DCDAD8,49.261864,-123.138351,342_TueDec8
#050203,49.250000,-123.100000,342_TueDec8
#E8EDEE,49.284560,-123.113105,342_TueDec8
#020402,49.277992,-123.109113,342_TueDec8
#030303,49.268574,-123.104553,342_TueDec8
#050304,49.262348,-123.101410,342_TueDec8
#031503,49.300743,-123.130331,342_TueDec8
#846873,49.247442,-123.089966,342_TueDec8
#010100,49.289711,-123.116074,342_TueDec8
#040403,49.284599,-123.108887,342_TueDec8
#FDFDFD,49.277462,-123.115761,342_TueDec8
#CCF9EC,49.250000,-123.100000,342_TueDec8
#020202,49.287999,-123.137446,342_TueDec8
#DEEFF0,49.250000,-123.100000,342_TueDec8
#F0EAEC,49.285152,-123.118416,342_TueDec8
#6F7C79,49.300629,-123.117593,342_TueDec8
#030503,49.278038,-123.109234,342_TueDec8
#565656,49.250000,-123.100000,342_TueDec8
#A87B8C,49.283424,-123.109367,342_TueDec8
#020102,49.280704,-123.117167,342_TueDec8
#081305,49.288128,-123.114868,342_TueDec8
#140C09,49.292894,-123.129080,342_TueDec8
#11090D,49.245830,-123.094177,342_TueDec8
#1F1B1E,49.264061,-123.104498,342_TueDec8
#090801,49.283833,-123.111275,342_TueDec8
#020403,49.283440,-123.118910,342_TueDec8
#ACA3AE,49.276295,-123.121407,342_TueDec8
#A15E70,49.280598,-123.097488,342_TueDec8
#220109,49.279938,-123.130775,342_TueDec8
#726E7C,49.282013,-123.122910,342_TueDec8
#120407,49.284020,-123.117212,342_TueDec8
#050505,49.281944,-123.121944,342_TueDec8
#8E2361,49.250000,-123.100000,342_TueDec8
#040303,49.284000,-123.122383,342_TueDec8
#0A0406,49.284599,-123.108887,342_TueDec8
#0E111A,49.250000,-123.100000,342_TueDec8
#281924,49.283051,-123.110077,342_TueDec8
#19090E,49.276075,-123.124396,342_TueDec8
#D0B6BA,49.250000,-123.100000,342_TueDec8
#D0C8CA,49.250000,-123.100000,342_TueDec8
#0B0505,49.288128,-123.114868,342_TueDec8
#100F04,49.250000,-123.100000,342_TueDec8
#16160B,49.285889,-123.125000,342_TueDec8
#030705,49.250000,-123.100000,342_TueDec8
#040101,49.285900,-123.124458,342_TueDec8
#FEFEFE,49.285212,-123.119800,342_TueDec8
#010201,49.270882,-123.136238,342_TueDec8
#917398,49.256462,-123.107351,342_TueDec8
#050404,49.284792,-123.115374,342_TueDec8
#0E070A,49.283718,-123.121109,342_TueDec8
#091201,49.265704,-123.114683,342_TueDec8
#570214,49.264759,-123.116791,342_TueDec8
#C9BBC7,49.282051,-123.120850,342_TueDec8
#848784,49.168800,-122.573891,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#8E7F88,49.278038,-123.109234,342_TueDec8
#050305,49.266383,-123.102605,342_TueDec8
#010101,49.250000,-123.100000,342_TueDec8
#020202,49.283909,-123.116691,342_TueDec8
#040404,49.283909,-123.116691,342_TueDec8
#F1F1F1,49.278038,-123.109234,342_TueDec8
#867881,49.289711,-123.116074,342_TueDec8
#181010,49.245830,-123.094177,342_TueDec8
#887684,49.250000,-123.100000,342_TueDec8
#1F090E,49.256462,-123.107351,342_TueDec8
#F5F5F7,49.250000,-123.100000,342_TueDec8
#D9D1D7,49.285158,-123.125196,342_TueDec8
#0D1404,49.288915,-123.111009,342_TueDec8
#996696,49.282070,-123.122818,342_TueDec8
#A377B9,49.277069,-123.125732,342_TueDec8
#040505,49.282620,-123.116921,342_TueDec8
#F3F1F3,49.250000,-123.100000,342_TueDec8
#BAC6C4,49.292648,-123.128988,342_TueDec8
#580E08,49.262909,-123.115303,342_TueDec8
#FAFAFA,49.245830,-123.094177,342_TueDec8
#6E2849,49.288033,-123.114475,342_TueDec8
#F3ECF1,49.263224,-123.123865,342_TueDec8
#242C1D,49.250000,-123.100000,342_TueDec8
#181010,49.245830,-123.094177,342_TueDec8
#DBD9DA,49.283485,-123.104973,342_TueDec8
#A4929D,49.250000,-123.100000,342_TueDec8
#996D84,49.277355,-123.131477,342_TueDec8
#4C454D,49.250000,-123.100000,342_TueDec8
#CDCDCD,49.277069,-123.125732,342_TueDec8
#0F030B,49.283299,-123.074471,342_TueDec8
#7B6A73,49.275570,-123.124428,342_TueDec8
#030202,49.265209,-123.100388,342_TueDec8
#040204,49.266529,-123.139580,342_TueDec8
#180F12,49.283218,-123.122360,342_TueDec8
#0B110F,49.278683,-123.126463,342_TueDec8
#040202,49.283156,-123.109243,342_TueDec8
#050204,49.218710,-123.102690,342_TueDec8
#000100,49.250000,-123.100000,342_TueDec8
#0E0C0F,49.288071,-123.130814,342_TueDec8
#DDF1E5,49.282131,-123.106361,342_TueDec8
#010201,49.271856,-123.135008,342_TueDec8
#F3F1F2,49.276352,-123.119621,342_TueDec8
#A68496,49.281771,-123.133364,342_TueDec8
#010302,49.276809,-123.112154,342_TueDec8
#020301,49.283218,-123.122360,342_TueDec8
#D3C5CA,49.267601,-123.099587,342_TueDec8
#0E0806,49.250000,-123.100000,342_TueDec8
#0C0A0F,49.284042,-123.107463,342_TueDec8
#F5EAF4,49.277988,-123.110321,342_TueDec8
