color,lat,long,date
#130710,49.261620,-123.101227,343_WedDec9
#050102,49.264473,-123.069595,343_WedDec9
#AE999F,49.276477,-123.121090,343_WedDec9
#020202,49.259325,-123.138692,343_WedDec9
#030101,49.250000,-123.100000,343_WedDec9
#5B5B5B,49.281929,-123.095070,343_WedDec9
#E8C6D8,49.250000,-123.100000,343_WedDec9
#18180D,49.277618,-123.115540,343_WedDec9
#010202,49.245830,-123.094177,343_WedDec9
#FBF7FB,49.272625,-123.135620,343_WedDec9
#000000,49.287441,-123.141958,343_WedDec9
#1AC287,49.231510,-123.102903,343_WedDec9
#020402,49.258572,-123.137995,343_WedDec9
#030303,49.250000,-123.100000,343_WedDec9
#020201,49.280109,-123.128975,343_WedDec9
#A70207,49.250000,-123.100000,343_WedDec9
#010101,49.281271,-123.098454,343_WedDec9
#0A0C06,49.282778,-123.124167,343_WedDec9
#010100,49.281271,-123.098454,343_WedDec9
#020101,49.280109,-123.128975,343_WedDec9
#000000,49.281271,-123.098454,343_WedDec9
#040303,49.276225,-123.102867,343_WedDec9
#89646E,49.250000,-123.100000,343_WedDec9
#010000,49.281271,-123.098454,343_WedDec9
#010100,49.281271,-123.098454,343_WedDec9
#020101,49.284572,-123.124657,343_WedDec9
#0D0608,49.269520,-123.103729,343_WedDec9
#F5F3F4,49.278683,-123.126463,343_WedDec9
#0A2816,49.284985,-123.113909,343_WedDec9
#0A0806,49.292454,-123.128837,343_WedDec9
#050401,49.268455,-123.097483,343_WedDec9
#080607,49.279270,-123.129776,343_WedDec9
#040102,49.283484,-123.104265,343_WedDec9
#000000,49.281929,-123.100098,343_WedDec9
#160A0E,49.280376,-123.113297,343_WedDec9
#E9DFE4,49.284074,-123.106520,343_WedDec9
#060502,49.283440,-123.118910,343_WedDec9
#010000,49.270283,-123.069412,343_WedDec9
#090507,49.287682,-123.115173,343_WedDec9
#645F5E,49.284792,-123.115374,343_WedDec9
#5D0206,49.279602,-123.114331,343_WedDec9
#0F0605,49.283718,-123.121109,343_WedDec9
#050404,49.283718,-123.121109,343_WedDec9
#040E07,49.281321,-123.132986,343_WedDec9
#020102,49.261547,-123.069662,343_WedDec9
#030202,49.279828,-123.121642,343_WedDec9
#181C02,49.279828,-123.121642,343_WedDec9
