color,lat,long,date
#F3F2EE,49.250000,-123.100000,352_FriDec18
#1B160C,49.298958,-123.121335,352_FriDec18
#030303,49.278652,-123.128220,352_FriDec18
#080807,49.289711,-123.116074,352_FriDec18
#030303,49.280132,-123.109833,352_FriDec18
#030103,49.263550,-123.069550,352_FriDec18
#030203,49.286102,-123.127388,352_FriDec18
#050301,49.280590,-123.120940,352_FriDec18
#7EBD91,49.266468,-123.111282,352_FriDec18
#050203,49.300000,-123.140000,352_FriDec18
#020102,49.250000,-123.100000,352_FriDec18
#F6F5F7,49.250000,-123.100000,352_FriDec18
#9E8890,49.284963,-123.125172,352_FriDec18
#010101,49.300743,-123.130331,352_FriDec18
#020101,49.281380,-123.085930,352_FriDec18
#C9A7BC,49.281380,-123.085930,352_FriDec18
#040101,49.266361,-123.138596,352_FriDec18
#030101,49.238990,-123.129839,352_FriDec18
#050402,49.278160,-123.114601,352_FriDec18
#030702,49.250000,-123.100000,352_FriDec18
#050303,49.284962,-123.124396,352_FriDec18
#97627E,49.250000,-123.100000,352_FriDec18
#020301,49.280078,-123.116400,352_FriDec18
#120D0D,49.280659,-123.100861,352_FriDec18
#81597A,49.250000,-123.100000,352_FriDec18
#030502,49.282574,-123.123938,352_FriDec18
#1C0D0F,49.276230,-123.107307,352_FriDec18
#030102,49.284792,-123.115374,352_FriDec18
#060401,49.299592,-123.133758,352_FriDec18
#030302,49.272005,-123.114896,352_FriDec18
#ECE8E7,49.282834,-123.120458,352_FriDec18
#060601,49.299592,-123.133758,352_FriDec18
#020102,49.287999,-123.137446,352_FriDec18
#06701E,49.298958,-123.121335,352_FriDec18
#030303,49.250000,-123.100000,352_FriDec18
#010001,49.282695,-123.136646,352_FriDec18
#010503,49.250000,-123.100000,352_FriDec18
#050501,49.299592,-123.133758,352_FriDec18
#B8B8B8,49.279810,-123.121969,352_FriDec18
#020102,49.287095,-123.142178,352_FriDec18
#0D0A06,49.299592,-123.133758,352_FriDec18
#8D8D8D,49.274711,-123.144533,352_FriDec18
#020102,49.280659,-123.100861,352_FriDec18
#040201,49.280659,-123.100861,352_FriDec18
#030202,49.279461,-123.122124,352_FriDec18
#0D1B0B,49.238990,-123.129839,352_FriDec18
#030102,49.279549,-123.122833,352_FriDec18
#22171D,49.287999,-123.137446,352_FriDec18
#080807,49.280248,-123.114811,352_FriDec18
#020601,49.285743,-123.112586,352_FriDec18
#634A54,49.287941,-123.113132,352_FriDec18
#E7CADD,49.250000,-123.100000,352_FriDec18
#0F0304,49.250000,-123.100000,352_FriDec18
#0A0A0B,49.250000,-123.100000,352_FriDec18
#0E7B28,49.250000,-123.100000,352_FriDec18
#5DF4A7,49.272332,-123.102719,352_FriDec18
#B1B8A7,49.280301,-123.101021,352_FriDec18
#080101,49.281593,-123.116981,352_FriDec18
#030304,49.280301,-123.101021,352_FriDec18
#7A786A,49.250000,-123.100000,352_FriDec18
#060202,49.232006,-123.117801,352_FriDec18
#536A5D,49.250000,-123.100000,352_FriDec18
#1A040E,49.250000,-123.100000,352_FriDec18
#020202,49.250000,-123.100000,352_FriDec18
#9CD9C4,49.250000,-123.100000,352_FriDec18
#010100,49.282433,-123.108856,352_FriDec18
#0B140A,49.250000,-123.100000,352_FriDec18
#120911,49.286411,-123.128227,352_FriDec18
#080807,49.287941,-123.113132,352_FriDec18
#050504,49.288071,-123.130814,352_FriDec18
#040101,49.282661,-123.104080,352_FriDec18
#120B0B,49.290365,-123.133573,352_FriDec18
#C8A6BA,49.250000,-123.100000,352_FriDec18
#6F7572,49.250000,-123.100000,352_FriDec18
#0A0B09,49.272819,-123.095560,352_FriDec18
#161213,49.250000,-123.100000,352_FriDec18
#CED0CE,49.250000,-123.100000,352_FriDec18
#010101,49.287476,-123.128960,352_FriDec18
#030101,49.280109,-123.128975,352_FriDec18
#DBB5C0,49.288559,-123.120972,352_FriDec18
#A97D90,49.250000,-123.100000,352_FriDec18
#9B778A,49.250000,-123.100000,352_FriDec18
#A39497,49.283218,-123.122360,352_FriDec18
#5EAB84,49.265655,-123.103262,352_FriDec18
#0A0407,49.285158,-123.125196,352_FriDec18
#1A080D,49.279796,-123.121661,352_FriDec18
#5B5C5A,49.288047,-123.092650,352_FriDec18
#B7A2AA,49.283821,-123.114693,352_FriDec18
#0C0807,49.250000,-123.100000,352_FriDec18
#070606,49.284042,-123.107463,352_FriDec18
#056F5E,49.276230,-123.107307,352_FriDec18
#050504,49.250000,-123.100000,352_FriDec18
#090907,49.281769,-123.111450,352_FriDec18
#010302,49.282348,-123.101948,352_FriDec18
#010001,49.279796,-123.121661,352_FriDec18
#030303,49.271856,-123.135008,352_FriDec18
#090909,49.282834,-123.120458,352_FriDec18
#1D0613,49.244898,-123.125402,352_FriDec18
#070805,49.284962,-123.124396,352_FriDec18
#040404,49.281944,-123.121944,352_FriDec18
#D4D8D2,49.288311,-123.116730,352_FriDec18
#030402,49.288390,-123.130570,352_FriDec18
#040504,49.250000,-123.100000,352_FriDec18
#080807,49.280109,-123.128975,352_FriDec18
#060706,49.299592,-123.133758,352_FriDec18
#C5A7AE,49.282124,-123.120682,352_FriDec18
#8F7067,49.251441,-123.097717,352_FriDec18
#020102,49.284869,-123.112825,352_FriDec18
#060305,49.279781,-123.091553,352_FriDec18
#11050A,49.287216,-123.118874,352_FriDec18
#050103,49.284641,-123.095787,352_FriDec18
#F6F6F6,49.250000,-123.100000,352_FriDec18
#010102,49.288033,-123.114475,352_FriDec18
#1D060D,49.282501,-123.109139,352_FriDec18
#070707,49.250000,-123.100000,352_FriDec18
#E2D5D9,49.246093,-123.101163,352_FriDec18
#9A5D72,49.250000,-123.100000,352_FriDec18
#010302,49.283995,-123.110176,352_FriDec18
#CFBBC3,49.275600,-123.121101,352_FriDec18
#D8C9D1,49.282765,-123.109641,352_FriDec18
#16040C,49.282791,-123.104782,352_FriDec18
#10110E,49.278229,-123.117401,352_FriDec18
#010300,49.260307,-123.096275,352_FriDec18
#16070B,49.285290,-123.122795,352_FriDec18
#080302,49.250000,-123.100000,352_FriDec18
#010101,49.250000,-123.100000,352_FriDec18
#8F7485,49.262940,-123.117279,352_FriDec18
#15C382,49.281411,-123.074650,352_FriDec18
#040106,49.276894,-123.119896,352_FriDec18
#895C77,49.287431,-123.112809,352_FriDec18
#030403,49.280376,-123.113297,352_FriDec18
#030102,49.250000,-123.100000,352_FriDec18
#020503,49.300000,-123.140000,352_FriDec18
#201517,49.279810,-123.121969,352_FriDec18
#0C0B07,49.268455,-123.097483,352_FriDec18
#010202,49.250000,-123.100000,352_FriDec18
#040102,49.287224,-123.113916,352_FriDec18
#040202,49.269447,-123.107483,352_FriDec18
#7D7476,49.250000,-123.100000,352_FriDec18
#150B17,49.270546,-123.147545,352_FriDec18
#846471,49.299592,-123.133758,352_FriDec18
#BB628A,49.280704,-123.117167,352_FriDec18
#030403,49.279677,-123.119916,352_FriDec18
#9E6E8A,49.270130,-123.079360,352_FriDec18
#030303,49.250000,-123.100000,352_FriDec18
#E4EFEB,49.288033,-123.114475,352_FriDec18
#F2E5E9,49.271856,-123.135008,352_FriDec18
#5D4A52,49.277092,-123.122125,352_FriDec18
#030202,49.238990,-123.129839,352_FriDec18
#030304,49.246183,-123.070500,352_FriDec18
#120508,49.286905,-123.129728,352_FriDec18
#0C0406,49.281071,-123.132874,352_FriDec18
#040205,49.287231,-123.142052,352_FriDec18
#040403,49.232500,-123.093611,352_FriDec18
#040300,49.300000,-123.140000,352_FriDec18
#9B294C,49.287517,-123.120659,352_FriDec18
#030402,49.282581,-123.101517,352_FriDec18
#EFEDED,49.281411,-123.074650,352_FriDec18
#A18F93,49.252008,-123.101656,352_FriDec18
#020402,49.300000,-123.140000,352_FriDec18
#D2C3CA,49.289822,-123.127922,352_FriDec18
#83606A,49.282131,-123.106361,352_FriDec18
#1B070C,49.257540,-123.114790,352_FriDec18
#CED1CE,49.288128,-123.114868,352_FriDec18
#9B6788,49.287431,-123.112809,352_FriDec18
#E4F0E9,49.282500,-123.110000,352_FriDec18
#E1E7EB,49.281071,-123.101791,352_FriDec18
#020202,49.283718,-123.121109,352_FriDec18
#887F76,49.286213,-123.118645,352_FriDec18
#181916,49.275153,-123.110006,352_FriDec18
#5EA685,49.279573,-123.138529,352_FriDec18
#968391,49.277794,-123.098709,352_FriDec18
#1C070C,49.272625,-123.135620,352_FriDec18
#150206,49.257540,-123.114790,352_FriDec18
#AB899A,49.263191,-123.133499,352_FriDec18
#9B9A99,49.288033,-123.114475,352_FriDec18
#1B1616,49.284599,-123.108887,352_FriDec18
#080E0A,49.264994,-123.077423,352_FriDec18
#200507,49.275404,-123.109266,352_FriDec18
#F9F4F7,49.284377,-123.093367,352_FriDec18
#030101,49.282244,-123.121151,352_FriDec18
#EFDAEA,49.250891,-123.126381,352_FriDec18
#010201,49.276979,-123.126573,352_FriDec18
#030403,49.280499,-123.099358,352_FriDec18
#ACAFA6,49.281264,-123.088553,352_FriDec18
#110709,49.260937,-123.138969,352_FriDec18
#020202,49.250000,-123.100000,352_FriDec18
#1B1A1A,49.277462,-123.115761,352_FriDec18
#030101,49.273724,-123.069344,352_FriDec18
#080305,49.281593,-123.116981,352_FriDec18
#020201,49.280376,-123.113297,352_FriDec18
#972589,49.268574,-123.104553,352_FriDec18
#588B7E,49.300743,-123.130331,352_FriDec18
#906B74,49.287399,-123.125815,352_FriDec18
#645F61,49.250000,-123.100000,352_FriDec18
#1E1A1B,49.260496,-123.084484,352_FriDec18
#C569A4,49.291080,-123.136429,352_FriDec18
#9C567B,49.279309,-123.102247,352_FriDec18
#020403,49.284042,-123.107463,352_FriDec18
#13060A,49.285900,-123.124458,352_FriDec18
#072722,49.283375,-123.102371,352_FriDec18
#A06492,49.271614,-123.136230,352_FriDec18
#010101,49.263250,-123.106190,352_FriDec18
#030001,49.263250,-123.106190,352_FriDec18
#041309,49.282801,-123.124067,352_FriDec18
#A2A2A2,49.264900,-123.126259,352_FriDec18
#F9F8F9,49.287811,-123.120529,352_FriDec18
#815686,49.281250,-123.116425,352_FriDec18
#F3F2F3,49.250000,-123.100000,352_FriDec18
#E0E9EB,49.288333,-123.117778,352_FriDec18
#F8F8F8,49.263250,-123.106190,352_FriDec18
#F3DFE9,49.234428,-123.153473,352_FriDec18
#101010,49.284439,-123.110268,352_FriDec18
#905878,49.250000,-123.100000,352_FriDec18
#030405,49.272451,-123.123960,352_FriDec18
#F6F6F6,49.282124,-123.120682,352_FriDec18
#7F7276,49.250000,-123.100000,352_FriDec18
#040805,49.250000,-123.100000,352_FriDec18
#050605,49.275562,-123.135196,352_FriDec18
#040203,49.282120,-123.109520,352_FriDec18
#120504,49.276932,-123.117706,352_FriDec18
#0D0508,49.284641,-123.097641,352_FriDec18
#050604,49.250000,-123.100000,352_FriDec18
#020402,49.288311,-123.116730,352_FriDec18
#1D0D0E,49.282478,-123.109055,352_FriDec18
#221D22,49.250000,-123.100000,352_FriDec18
#E2E2E2,49.275814,-123.099678,352_FriDec18
#0C0809,49.281564,-123.133919,352_FriDec18
#020102,49.250000,-123.100000,352_FriDec18
#E1E0E0,49.283424,-123.109367,352_FriDec18
#040302,49.300743,-123.130331,352_FriDec18
#F8EEF3,49.279934,-123.125610,352_FriDec18
#060504,49.267830,-123.150932,352_FriDec18
#0D100D,49.271856,-123.135008,352_FriDec18
#172523,49.300743,-123.130331,352_FriDec18
#080807,49.276894,-123.119896,352_FriDec18
#FBF8FB,49.280376,-123.113297,352_FriDec18
#020503,49.250000,-123.100000,352_FriDec18
#010001,49.277706,-123.125633,352_FriDec18
#947483,49.284438,-123.124306,352_FriDec18
#0E0B0F,49.289711,-123.116074,352_FriDec18
#040304,49.288830,-123.117691,352_FriDec18
#030102,49.257244,-123.094302,352_FriDec18
#040102,49.278408,-123.118713,352_FriDec18
#050505,49.280491,-123.120567,352_FriDec18
#181818,49.280659,-123.100861,352_FriDec18
#E9DFEC,49.289711,-123.116074,352_FriDec18
#E7CAC8,49.283440,-123.118910,352_FriDec18
#89576C,49.250000,-123.100000,352_FriDec18
#050102,49.279947,-123.116552,352_FriDec18
#180E15,49.270865,-123.151236,352_FriDec18
#9985AC,49.276558,-123.116604,352_FriDec18
#070601,49.275837,-123.122124,352_FriDec18
#010501,49.282896,-123.089551,352_FriDec18
#D6BCCD,49.263466,-123.100739,352_FriDec18
#CAC7C6,49.285738,-123.114551,352_FriDec18
#1B0F13,49.281874,-123.124205,352_FriDec18
#090705,49.250000,-123.100000,352_FriDec18
#1D1D1E,49.277297,-123.114493,352_FriDec18
#AA839A,49.254017,-123.090187,352_FriDec18
#020805,49.283327,-123.119291,352_FriDec18
#B15E7E,49.284275,-123.121506,352_FriDec18
#9E7582,49.270312,-123.141506,352_FriDec18
#040203,49.280720,-123.121391,352_FriDec18
#1C0707,49.263427,-123.136850,352_FriDec18
#040504,49.279270,-123.129776,352_FriDec18
#1E191D,49.293240,-123.140152,352_FriDec18
#030203,49.279573,-123.138529,352_FriDec18
#635F5D,49.284599,-123.108887,352_FriDec18
#E9C9DA,49.280552,-123.101929,352_FriDec18
#0D0F0A,49.263901,-123.117241,352_FriDec18
#030404,49.282673,-123.118187,352_FriDec18
#030503,49.282051,-123.120850,352_FriDec18
#030301,49.284439,-123.110268,352_FriDec18
#0E0405,49.268850,-123.069680,352_FriDec18
#18080A,49.250000,-123.100000,352_FriDec18
#9D7A95,49.275982,-123.120163,352_FriDec18
#9A797B,49.282776,-123.112198,352_FriDec18
#101209,49.281250,-123.116425,352_FriDec18
#BAA9B8,49.289711,-123.116074,352_FriDec18
#E6EBE8,49.264420,-123.124741,352_FriDec18
#D7C9D2,49.250000,-123.100000,352_FriDec18
#030403,49.286301,-123.115692,352_FriDec18
#030202,49.282989,-123.124039,352_FriDec18
#10060A,49.285597,-123.120192,352_FriDec18
#010101,49.288915,-123.111009,352_FriDec18
#6A6868,49.284439,-123.110268,352_FriDec18
#8F7D87,49.281771,-123.133364,352_FriDec18
#AFAFAF,49.250000,-123.100000,352_FriDec18
#060606,49.289967,-123.132828,352_FriDec18
#CAC0C4,49.281185,-123.076134,352_FriDec18
#0C080A,49.277462,-123.115761,352_FriDec18
#635E60,49.278674,-123.130085,352_FriDec18
#130706,49.250000,-123.100000,352_FriDec18
#040202,49.281151,-123.125969,352_FriDec18
#030305,49.279573,-123.138529,352_FriDec18
#020302,49.275490,-123.120918,352_FriDec18
#545F59,49.264420,-123.124741,352_FriDec18
#040403,49.280209,-123.118279,352_FriDec18
#040103,49.260963,-123.138466,352_FriDec18
#F3F9F2,49.281540,-123.138985,352_FriDec18
#C2B2BB,49.279444,-123.109444,352_FriDec18
#64EFB7,49.291466,-123.127777,352_FriDec18
#0A0907,49.250000,-123.100000,352_FriDec18
#0E0109,49.250000,-123.100000,352_FriDec18
#3FA57C,49.250000,-123.100000,352_FriDec18
#13080A,49.280376,-123.113297,352_FriDec18
#CC0201,49.280659,-123.100861,352_FriDec18
#8F5972,49.242477,-123.089092,352_FriDec18
#070805,49.262970,-123.098450,352_FriDec18
#72BF8D,49.250000,-123.100000,352_FriDec18
#22161D,49.288311,-123.116730,352_FriDec18
#BDD3CD,49.282124,-123.120682,352_FriDec18
#F2F1F4,49.285739,-123.123934,352_FriDec18
#040203,49.276352,-123.119621,352_FriDec18
#533824,49.276230,-123.107307,352_FriDec18
#9E7B87,49.224760,-123.107897,352_FriDec18
#E7B6D3,49.284063,-123.108673,352_FriDec18
#C8D0C2,49.262348,-123.101410,352_FriDec18
#65555B,49.282193,-123.118074,352_FriDec18
#AEAAAC,49.283677,-123.105240,352_FriDec18
#0F0307,49.278809,-123.098930,352_FriDec18
#090607,49.286213,-123.118645,352_FriDec18
#010401,49.281723,-123.120350,352_FriDec18
#030603,49.229000,-123.152000,352_FriDec18
#610614,49.251331,-123.100594,352_FriDec18
#D7E4DB,49.250000,-123.100000,352_FriDec18
#CF87AF,49.261267,-123.124407,352_FriDec18
#030102,49.274921,-123.123207,352_FriDec18
#B66399,49.285743,-123.112586,352_FriDec18
#C5E8E2,49.260872,-123.113953,352_FriDec18
#FCFCFC,49.264390,-123.116560,352_FriDec18
#BEEEE3,49.250000,-123.100000,352_FriDec18
#030402,49.284042,-123.107463,352_FriDec18
#030101,49.280109,-123.128975,352_FriDec18
#050102,49.283108,-123.118874,352_FriDec18
#030202,49.284699,-123.122849,352_FriDec18
#0E0408,49.284699,-123.122849,352_FriDec18
#0C0304,49.283691,-123.103455,352_FriDec18
#D3CCD7,49.279537,-123.126198,352_FriDec18
#030404,49.282513,-123.122131,352_FriDec18
#030703,49.279713,-123.097223,352_FriDec18
#E271A8,49.283718,-123.121109,352_FriDec18
#FAF9F9,49.250000,-123.100000,352_FriDec18
#060604,49.266383,-123.102605,352_FriDec18
#0F080B,49.270863,-123.136085,352_FriDec18
#C5C3C2,49.282513,-123.122131,352_FriDec18
#120709,49.287029,-123.115623,352_FriDec18
#501121,49.222317,-122.909451,352_FriDec18
#BD609A,49.276090,-123.119290,352_FriDec18
#0E0609,49.282778,-123.124167,352_FriDec18
#060504,49.270655,-123.106396,352_FriDec18
#CCD9D4,49.277794,-123.098709,352_FriDec18
#F7EFF5,49.280800,-123.120079,352_FriDec18
#030403,49.282834,-123.120458,352_FriDec18
#040202,49.245830,-123.094177,352_FriDec18
#704758,49.300743,-123.130331,352_FriDec18
#084617,49.250000,-123.100000,352_FriDec18
#09080A,49.274753,-123.122558,352_FriDec18
#030202,49.280132,-123.109833,352_FriDec18
#A97BA5,49.290562,-123.133602,352_FriDec18
#030302,49.281929,-123.100098,352_FriDec18
#608675,49.283218,-123.122360,352_FriDec18
#060203,49.250000,-123.100000,352_FriDec18
#010401,49.281723,-123.120350,352_FriDec18
#010101,49.284111,-123.111565,352_FriDec18
#9E9E9E,49.288128,-123.114868,352_FriDec18
#0F0B0E,49.286320,-123.125687,352_FriDec18
#0A0B0A,49.245892,-123.100861,352_FriDec18
#070605,49.280376,-123.113297,352_FriDec18
#5F625E,49.263061,-123.097679,352_FriDec18
#EBE0E6,49.264895,-123.069458,352_FriDec18
#030405,49.250000,-123.100000,352_FriDec18
#0D0302,49.250000,-123.100000,352_FriDec18
#566860,49.292648,-123.128988,352_FriDec18
#D8ACC4,49.282791,-123.104782,352_FriDec18
#849084,49.279551,-123.103416,352_FriDec18
#010502,49.250000,-123.100000,352_FriDec18
#D6A9AC,49.250000,-123.100000,352_FriDec18
#14050A,49.282324,-123.104399,352_FriDec18
#946F7F,49.284063,-123.108673,352_FriDec18
#0D0709,49.284063,-123.108673,352_FriDec18
#080505,49.284063,-123.108673,352_FriDec18
#090909,49.292648,-123.128988,352_FriDec18
#BBEDDB,49.250000,-123.100000,352_FriDec18
#EE63A1,49.265652,-123.101334,352_FriDec18
#810613,49.279551,-123.103416,352_FriDec18
#160924,49.283180,-123.114578,352_FriDec18
#59585D,49.281678,-123.133362,352_FriDec18
#160924,49.283180,-123.114578,352_FriDec18
#D8D3D9,49.243622,-123.100937,352_FriDec18
#B8ACBF,49.281944,-123.121944,352_FriDec18
#090F0F,49.271856,-123.135008,352_FriDec18
#110C08,49.238990,-123.129839,352_FriDec18
#030203,49.268013,-123.154892,352_FriDec18
#050203,49.280857,-123.107742,352_FriDec18
#020503,49.250000,-123.100000,352_FriDec18
#C2F0DC,49.289257,-123.122330,352_FriDec18
#0B0305,49.290722,-123.133995,352_FriDec18
#110D0D,49.229713,-123.116676,352_FriDec18
#100809,49.250000,-123.100000,352_FriDec18
#D590BB,49.250000,-123.100000,352_FriDec18
#065107,49.288915,-123.111009,352_FriDec18
#EFECEE,49.289588,-123.127209,352_FriDec18
#060404,49.263942,-123.105888,352_FriDec18
#757962,49.250000,-123.100000,352_FriDec18
#031702,49.265213,-123.069923,352_FriDec18
#FBFBFB,49.284792,-123.115374,352_FriDec18
#E8EAEB,49.277577,-123.098100,352_FriDec18
#EDF5EE,49.284377,-123.093367,352_FriDec18
#D292BB,49.246710,-123.100830,352_FriDec18
#030805,49.290170,-123.118142,352_FriDec18
#0B0D11,49.268013,-123.154892,352_FriDec18
#161312,49.281874,-123.124205,352_FriDec18
#100D09,49.281874,-123.124205,352_FriDec18
#C8CDC8,49.219212,-123.149399,352_FriDec18
#A8A8A8,49.281874,-123.124205,352_FriDec18
#DFC5D4,49.275604,-123.121522,352_FriDec18
#040404,49.279270,-123.129776,352_FriDec18
#FEFBFD,49.277577,-123.098100,352_FriDec18
#030101,49.270863,-123.136085,352_FriDec18
#1D191B,49.278301,-123.128899,352_FriDec18
#221A20,49.268265,-123.153671,352_FriDec18
#263F38,49.280376,-123.113297,352_FriDec18
#660917,49.282799,-123.104073,352_FriDec18
#020302,49.250000,-123.100000,352_FriDec18
#8E8E8E,49.254703,-123.109451,352_FriDec18
#050502,49.267744,-123.119307,352_FriDec18
#030604,49.284672,-123.121429,352_FriDec18
#9D5C7D,49.250000,-123.100000,352_FriDec18
#D3CDD5,49.250000,-123.100000,352_FriDec18
#5F051F,49.225037,-123.090935,352_FriDec18
#040203,49.271856,-123.135008,352_FriDec18
#060401,49.285063,-123.120397,352_FriDec18
#A10711,49.250000,-123.100000,352_FriDec18
#170306,49.263550,-123.069550,352_FriDec18
#060203,49.288311,-123.116730,352_FriDec18
#000000,49.272697,-123.152794,352_FriDec18
#E4D6D9,49.277069,-123.125732,352_FriDec18
#0C0907,49.250000,-123.100000,352_FriDec18
#100409,49.268215,-123.150085,352_FriDec18
#A85D8B,49.266964,-123.118904,352_FriDec18
#1B0709,49.256854,-123.089547,352_FriDec18
#1A0B13,49.268681,-123.141296,352_FriDec18
#E7EEED,49.283588,-123.113770,352_FriDec18
