color,lat,long,date
#FDFBFC,49.283913,-123.124016,354_SunDec20
#020101,49.284661,-123.112716,354_SunDec20
#040303,49.283375,-123.102371,354_SunDec20
#0A0A0A,49.276225,-123.102867,354_SunDec20
#000300,49.300743,-123.130331,354_SunDec20
#040203,49.281311,-123.132904,354_SunDec20
#09540F,49.298958,-123.121335,354_SunDec20
#010101,49.300629,-123.117593,354_SunDec20
#11110E,49.282318,-123.122810,354_SunDec20
#C5BEC5,49.285683,-123.124107,354_SunDec20
#030502,49.276230,-123.107307,354_SunDec20
#010000,49.270931,-123.115402,354_SunDec20
#121111,49.245892,-123.100861,354_SunDec20
#1B0407,49.280376,-123.113297,354_SunDec20
#090303,49.271856,-123.135008,354_SunDec20
#020102,49.276979,-123.126573,354_SunDec20
#090406,49.284699,-123.122849,354_SunDec20
#020000,49.301526,-123.134138,354_SunDec20
#C78098,49.284699,-123.122849,354_SunDec20
#D91A6F,49.288128,-123.114868,354_SunDec20
#030101,49.282749,-123.109706,354_SunDec20
#040001,49.286820,-123.114495,354_SunDec20
#050200,49.250000,-123.100000,354_SunDec20
#030C01,49.281411,-123.074650,354_SunDec20
#030102,49.277709,-123.118509,354_SunDec20
#040304,49.246155,-123.101036,354_SunDec20
#020101,49.277924,-123.126739,354_SunDec20
#14070B,49.279682,-123.117489,354_SunDec20
#080A07,49.250530,-123.100601,354_SunDec20
#020101,49.279000,-123.121000,354_SunDec20
#010101,49.250000,-123.100000,354_SunDec20
#010101,49.250000,-123.100000,354_SunDec20
#A76A98,49.250000,-123.100000,354_SunDec20
#010101,49.270556,-123.133333,354_SunDec20
#040303,49.250000,-123.100000,354_SunDec20
#E261A6,49.283367,-123.116333,354_SunDec20
#090908,49.223761,-123.089225,354_SunDec20
#EED7E6,49.289959,-123.128052,354_SunDec20
#110106,49.280384,-123.131455,354_SunDec20
#1C1C1C,49.288128,-123.114868,354_SunDec20
#848484,49.286480,-123.142212,354_SunDec20
#030001,49.283375,-123.102371,354_SunDec20
#020101,49.221653,-123.093829,354_SunDec20
#020502,49.280371,-123.129529,354_SunDec20
#030303,49.289711,-123.116074,354_SunDec20
#020202,49.280720,-123.121391,354_SunDec20
#040202,49.253078,-123.094148,354_SunDec20
#030101,49.284599,-123.108887,354_SunDec20
#65696B,49.272625,-123.135620,354_SunDec20
#010101,49.280371,-123.129529,354_SunDec20
#030102,49.253078,-123.094148,354_SunDec20
#030301,49.300000,-123.140000,354_SunDec20
#040101,49.283367,-123.116333,354_SunDec20
#040203,49.280673,-123.127496,354_SunDec20
#030202,49.285160,-123.126297,354_SunDec20
#120724,49.223761,-123.089225,354_SunDec20
#040304,49.281944,-123.121944,354_SunDec20
#070603,49.300743,-123.130331,354_SunDec20
#080907,49.287224,-123.113916,354_SunDec20
#270411,49.250000,-123.100000,354_SunDec20
#080707,49.250000,-123.100000,354_SunDec20
#8B1E54,49.265644,-123.100494,354_SunDec20
#020402,49.280491,-123.120567,354_SunDec20
#D8E8E0,49.250000,-123.100000,354_SunDec20
#040304,49.272442,-123.095711,354_SunDec20
#080808,49.263329,-123.141701,354_SunDec20
#030202,49.275795,-123.121590,354_SunDec20
#040101,49.280673,-123.127496,354_SunDec20
#021B09,49.254518,-123.080301,354_SunDec20
#160207,49.250000,-123.100000,354_SunDec20
#0E0A08,49.276979,-123.126573,354_SunDec20
#040403,49.279723,-123.130186,354_SunDec20
#050303,49.281593,-123.116981,354_SunDec20
#C470A5,49.285961,-123.124161,354_SunDec20
#010301,49.300000,-123.140000,354_SunDec20
#010100,49.279828,-123.121642,354_SunDec20
#040301,49.280109,-123.128975,354_SunDec20
#050403,49.290908,-123.131410,354_SunDec20
#010001,49.259628,-123.101624,354_SunDec20
#020101,49.283375,-123.102371,354_SunDec20
#AA698C,49.268215,-123.150085,354_SunDec20
#010202,49.250000,-123.100000,354_SunDec20
#040503,49.283428,-123.102821,354_SunDec20
#625C5D,49.287029,-123.115623,354_SunDec20
#010101,49.278545,-123.123833,354_SunDec20
#142104,49.280078,-123.116400,354_SunDec20
#150F10,49.250000,-123.100000,354_SunDec20
#060705,49.284042,-123.107463,354_SunDec20
#010102,49.275795,-123.121590,354_SunDec20
#120B0D,49.242222,-123.115000,354_SunDec20
#050601,49.238990,-123.129839,354_SunDec20
#070604,49.282989,-123.124039,354_SunDec20
#030202,49.288311,-123.116730,354_SunDec20
#040303,49.280414,-123.126281,354_SunDec20
#040202,49.282852,-123.115857,354_SunDec20
