color,lat,long,date
#010101,49.280491,-123.120567,358_ThuDec24
#010001,49.280491,-123.120567,358_ThuDec24
#CDF1E9,49.250000,-123.100000,358_ThuDec24
#77696F,49.283331,-123.123250,358_ThuDec24
#020101,49.280491,-123.120567,358_ThuDec24
#A5718F,49.268280,-123.146431,358_ThuDec24
#B36D94,49.283611,-123.106377,358_ThuDec24
#060203,49.266510,-123.069351,358_ThuDec24
#F4F4F6,49.276941,-123.127295,358_ThuDec24
#1A0507,49.278759,-123.115547,358_ThuDec24
#0B0306,49.263641,-123.149834,358_ThuDec24
#011A01,49.266529,-123.139580,358_ThuDec24
#040202,49.276897,-123.130180,358_ThuDec24
#090909,49.225463,-123.003182,358_ThuDec24
#010202,49.283109,-123.108402,358_ThuDec24
#060202,49.283108,-123.118874,358_ThuDec24
#050402,49.275280,-123.099709,358_ThuDec24
#060204,49.283611,-123.106377,358_ThuDec24
#011C03,49.300743,-123.130331,358_ThuDec24
#040101,49.280376,-123.113297,358_ThuDec24
#BFD5D5,49.283928,-123.116850,358_ThuDec24
#9E9F9E,49.288128,-123.114868,358_ThuDec24
#030602,49.301525,-123.134052,358_ThuDec24
#15080A,49.250000,-123.100000,358_ThuDec24
#070807,49.280491,-123.120567,358_ThuDec24
#030404,49.280414,-123.126281,358_ThuDec24
#000000,49.272332,-123.102719,358_ThuDec24
#020101,49.300000,-123.140000,358_ThuDec24
#060404,49.283325,-123.109012,358_ThuDec24
#6A595C,49.284782,-123.123183,358_ThuDec24
#020400,49.280491,-123.120567,358_ThuDec24
#0A0404,49.276225,-123.102867,358_ThuDec24
#030101,49.238990,-123.129839,358_ThuDec24
#170D11,49.280376,-123.113297,358_ThuDec24
#5FA578,49.291466,-123.127777,358_ThuDec24
#071704,49.301525,-123.134052,358_ThuDec24
#140F1C,49.270655,-123.106396,358_ThuDec24
#98536E,49.276941,-123.127295,358_ThuDec24
#9A6A7F,49.282661,-123.109276,358_ThuDec24
#D5F0EC,49.281593,-123.116981,358_ThuDec24
#1C060B,49.274045,-123.069694,358_ThuDec24
#9E5B7E,49.278229,-123.117401,358_ThuDec24
#050505,49.271856,-123.135008,358_ThuDec24
#050204,49.285686,-123.116253,358_ThuDec24
#020301,49.278946,-123.123764,358_ThuDec24
#030303,49.282697,-123.104176,358_ThuDec24
#160F14,49.250000,-123.100000,358_ThuDec24
#0B0608,49.275112,-123.122772,358_ThuDec24
#281114,49.266361,-123.138596,358_ThuDec24
#040605,49.241141,-123.137562,358_ThuDec24
#010101,49.300000,-123.140000,358_ThuDec24
#050203,49.284313,-123.095337,358_ThuDec24
#040102,49.266361,-123.138596,358_ThuDec24
#17040A,49.279929,-123.114070,358_ThuDec24
#520309,49.288559,-123.120972,358_ThuDec24
#010101,49.300000,-123.140000,358_ThuDec24
#A67186,49.276941,-123.127295,358_ThuDec24
#BEC9B8,49.250000,-123.100000,358_ThuDec24
#1A070F,49.270690,-123.146600,358_ThuDec24
#010201,49.300000,-123.140000,358_ThuDec24
#070602,49.281593,-123.116981,358_ThuDec24
#000501,49.301525,-123.134052,358_ThuDec24
#BC75AA,49.290722,-123.133995,358_ThuDec24
#020101,49.300000,-123.140000,358_ThuDec24
#040202,49.287894,-123.120479,358_ThuDec24
#DFE5DE,49.276809,-123.112154,358_ThuDec24
#FAF2F7,49.283611,-123.106377,358_ThuDec24
#020001,49.269447,-123.107483,358_ThuDec24
#010201,49.300000,-123.140000,358_ThuDec24
#030301,49.238990,-123.129839,358_ThuDec24
#040303,49.276941,-123.127295,358_ThuDec24
#FAF7F9,49.250000,-123.100000,358_ThuDec24
#4C0A1F,49.285683,-123.124107,358_ThuDec24
#0F0505,49.263649,-123.134377,358_ThuDec24
#1F0B10,49.250000,-123.100000,358_ThuDec24
#040205,49.288563,-123.138597,358_ThuDec24
#040303,49.272636,-123.136124,358_ThuDec24
#DBA2C2,49.270690,-123.146600,358_ThuDec24
#050402,49.272625,-123.135620,358_ThuDec24
#BFCDC7,49.283718,-123.121109,358_ThuDec24
#070203,49.280213,-123.120334,358_ThuDec24
#040305,49.250000,-123.100000,358_ThuDec24
#050103,49.278529,-123.098299,358_ThuDec24
#110705,49.248970,-123.101204,358_ThuDec24
#A4A4A4,49.283921,-123.142666,358_ThuDec24
#020401,49.300000,-123.140000,358_ThuDec24
#0E150E,49.275470,-123.136643,358_ThuDec24
#030403,49.287216,-123.118874,358_ThuDec24
#C290AC,49.270690,-123.146600,358_ThuDec24
#9F0527,49.268280,-123.146431,358_ThuDec24
#221F1F,49.274188,-123.123598,358_ThuDec24
#DDC2D0,49.280294,-123.125283,358_ThuDec24
#030202,49.277461,-123.115763,358_ThuDec24
#15060A,49.288357,-123.139023,358_ThuDec24
#030202,49.288128,-123.114868,358_ThuDec24
#F0F0F0,49.250000,-123.100000,358_ThuDec24
#0F0C08,49.274796,-123.123047,358_ThuDec24
#020202,49.254256,-123.115038,358_ThuDec24
#090707,49.283035,-123.115830,358_ThuDec24
#080B08,49.280248,-123.114811,358_ThuDec24
#080406,49.280449,-123.102127,358_ThuDec24
#131313,49.264469,-123.088422,358_ThuDec24
#050704,49.280376,-123.113297,358_ThuDec24
#030101,49.280376,-123.113297,358_ThuDec24
#010001,49.275604,-123.121522,358_ThuDec24
#E1CBD7,49.281723,-123.120350,358_ThuDec24
#5F121B,49.283277,-123.105656,358_ThuDec24
#060706,49.276454,-123.118826,358_ThuDec24
#191112,49.271156,-123.139790,358_ThuDec24
#1D2319,49.250000,-123.100000,358_ThuDec24
#040102,49.283156,-123.109243,358_ThuDec24
#7C5C67,49.242477,-123.089092,358_ThuDec24
#BFB3BA,49.250000,-123.100000,358_ThuDec24
#100104,49.273724,-123.069344,358_ThuDec24
#C9B8BA,49.300743,-123.130331,358_ThuDec24
#4A0D1F,49.283327,-123.119291,358_ThuDec24
#050405,49.250000,-123.100000,358_ThuDec24
#010101,49.238990,-123.129839,358_ThuDec24
#110608,49.282989,-123.124039,358_ThuDec24
#030403,49.300000,-123.140000,358_ThuDec24
#100507,49.283327,-123.119291,358_ThuDec24
#010000,49.276230,-123.107307,358_ThuDec24
#B3E2C6,49.250000,-123.100000,358_ThuDec24
#040101,49.282697,-123.104176,358_ThuDec24
#726874,49.282051,-123.120850,358_ThuDec24
