color,lat,long,date
#010101,49.288128,-123.114868,360_SatDec26
#94D8AE,49.261777,-123.155462,360_SatDec26
#180708,49.250000,-123.100000,360_SatDec26
#190D08,49.250000,-123.100000,360_SatDec26
#090909,49.250000,-123.100000,360_SatDec26
#050103,49.283718,-123.121109,360_SatDec26
#7EA18A,49.276809,-123.112154,360_SatDec26
#020301,49.288033,-123.114475,360_SatDec26
#020303,49.298958,-123.121335,360_SatDec26
#020102,49.280376,-123.113297,360_SatDec26
#1F1B1A,49.277988,-123.110321,360_SatDec26
#080707,49.282698,-123.128576,360_SatDec26
#040202,49.238990,-123.129839,360_SatDec26
#030202,49.250000,-123.100000,360_SatDec26
#030202,49.250000,-123.100000,360_SatDec26
#010101,49.238990,-123.129839,360_SatDec26
#251924,49.288128,-123.114868,360_SatDec26
#0F060A,49.273477,-123.128486,360_SatDec26
#7E768B,49.273353,-123.103411,360_SatDec26
#040806,49.300000,-123.140000,360_SatDec26
#070604,49.287224,-123.113916,360_SatDec26
#030404,49.250000,-123.100000,360_SatDec26
#060606,49.250000,-123.100000,360_SatDec26
#020101,49.283019,-123.104865,360_SatDec26
#010000,49.277157,-123.125916,360_SatDec26
#030503,49.279164,-123.137844,360_SatDec26
#060505,49.276809,-123.112154,360_SatDec26
#83B6A8,49.261777,-123.155462,360_SatDec26
#020001,49.285029,-123.127597,360_SatDec26
#0A100D,49.242222,-123.115000,360_SatDec26
#040503,49.250000,-123.100000,360_SatDec26
#E6CAE2,49.267227,-123.113930,360_SatDec26
#0B0309,49.280132,-123.109833,360_SatDec26
#8E8584,49.273353,-123.103411,360_SatDec26
#D5F0E5,49.291380,-123.131739,360_SatDec26
#967778,49.270941,-123.147862,360_SatDec26
#0F0206,49.280132,-123.109833,360_SatDec26
#030202,49.272850,-123.069778,360_SatDec26
#D2D7DF,49.288093,-123.130385,360_SatDec26
#13040B,49.280376,-123.113297,360_SatDec26
#180509,49.258572,-123.137995,360_SatDec26
#040905,49.284792,-123.115374,360_SatDec26
#A16B8B,49.288093,-123.130385,360_SatDec26
#130404,49.250000,-123.100000,360_SatDec26
#020202,49.301525,-123.134052,360_SatDec26
#030202,49.280376,-123.113297,360_SatDec26
#0E1009,49.250000,-123.100000,360_SatDec26
#050306,49.273353,-123.103411,360_SatDec26
#1C0D0F,49.250000,-123.100000,360_SatDec26
#030101,49.284599,-123.108887,360_SatDec26
