colour,lat,long,date,neighbourhood
#171112,49.285896,-123.127449,Wednesday_Feb_18_2015,Robson Street
#F0F0F0,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#0B0806,49.282909,-123.121910,Wednesday_Feb_18_2015,Robson Street
#02C720,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#F7F9FA,49.277586,-123.127287,Wednesday_Feb_18_2015,Yaletown
#180307,49.260860,-123.116287,Wednesday_Feb_18_2015,Fairview
#120308,49.282070,-123.102540,Wednesday_Feb_18_2015,Gastown
#000001,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#AE82A6,49.286556,-123.142616,Wednesday_Feb_18_2015,West End
#040303,49.283440,-123.118910,Wednesday_Feb_18_2015,Chinatown
#C981B1,49.276100,-123.121140,Wednesday_Feb_18_2015,Yaletown
#100308,49.286556,-123.142616,Wednesday_Feb_18_2015,West End
#140A0C,49.277920,-123.121169,Wednesday_Feb_18_2015,Yaletown
#D0C9E5,49.280704,-123.117167,Wednesday_Feb_18_2015,Yaletown
#030303,49.283440,-123.118910,Wednesday_Feb_18_2015,Chinatown
#F7F4F6,49.289923,-123.126048,Wednesday_Feb_18_2015,Robson Street
#040504,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#E1E1E1,49.271803,-123.121594,Wednesday_Feb_18_2015,False Creek
#040201,49.282556,-123.107694,Wednesday_Feb_18_2015,Gastown
#EAF0EE,49.293286,-123.139987,Wednesday_Feb_18_2015,West End
#030204,49.286521,-123.136112,Wednesday_Feb_18_2015,Coal Harbor
#040101,49.284759,-123.122697,Wednesday_Feb_18_2015,Robson Street
#050706,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#040604,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#C168A4,49.284020,-123.117212,Wednesday_Feb_18_2015,Coal Harbor
#010000,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#030404,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#050605,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#040204,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#000300,49.284006,-123.106930,Wednesday_Feb_18_2015,Gastown
#56AE80,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#010102,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#677971,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#D1ACAE,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#070102,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#020101,49.284599,-123.108887,Wednesday_Feb_18_2015,Gastown
#905F75,49.282620,-123.116921,Wednesday_Feb_18_2015,Chinatown
#020202,49.281271,-123.098454,Wednesday_Feb_18_2015,Chinatown
#A58B97,49.287224,-123.113916,Wednesday_Feb_18_2015,Gastown
#030202,51.183988,-115.560665,Wednesday_Feb_18_2015,Banff
#030101,49.284599,-123.108887,Wednesday_Feb_18_2015,Gastown
#6B2758,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#020000,49.272005,-123.114896,Wednesday_Feb_18_2015,Yaletown
#019A7F,49.281582,-123.132782,Wednesday_Feb_18_2015,West End
#530D25,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#070402,49.266361,-123.138596,Wednesday_Feb_18_2015,Fairview
#CEF8F2,49.278992,-123.109411,Wednesday_Feb_18_2015,Chinatown
#E7A6E4,49.278068,-123.116161,Wednesday_Feb_18_2015,Yaletown
#010202,49.275470,-123.136643,Wednesday_Feb_18_2015,Granville Island
#EAB5EA,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#060703,49.275587,-123.121974,Wednesday_Feb_18_2015,Yaletown
#F1EBF1,49.267670,-123.140587,Wednesday_Feb_18_2015,Granville Island
#BC7092,49.279519,-123.115608,Wednesday_Feb_18_2015,Yaletown
#050201,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#050303,49.286704,-123.126410,Wednesday_Feb_18_2015,Robson Street
#020001,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#A8687E,49.277920,-123.121169,Wednesday_Feb_18_2015,Yaletown
#030101,49.277908,-123.128357,Wednesday_Feb_18_2015,Yaletown
#020101,49.275470,-123.136643,Wednesday_Feb_18_2015,Granville Island
#629684,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#030300,49.264240,-123.101410,Wednesday_Feb_18_2015,Main Street
#040202,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#1E2522,49.262066,-123.138428,Wednesday_Feb_18_2015,Fairview
#150811,49.279667,-123.136002,Wednesday_Feb_18_2015,West End
#030101,49.282749,-123.109100,Wednesday_Feb_18_2015,Gastown
#030202,49.266361,-123.138596,Wednesday_Feb_18_2015,Fairview
#020303,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#020102,49.279422,-123.098447,Wednesday_Feb_18_2015,Chinatown
#100F08,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#B97D9F,49.279650,-123.131718,Wednesday_Feb_18_2015,West End
#010101,49.284042,-123.107463,Wednesday_Feb_18_2015,Gastown
#F6F2F7,49.234703,-123.153572,Wednesday_Feb_18_2015,Shaughnessy
#070501,49.291656,-123.127470,Wednesday_Feb_18_2015,Coal Harbor
#141915,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#0F0305,49.287431,-123.112809,Wednesday_Feb_18_2015,Gastown
#060705,49.288312,-123.117984,Wednesday_Feb_18_2015,Coal Harbor
#050303,49.284042,-123.107463,Wednesday_Feb_18_2015,Gastown
#040302,49.223192,-123.069170,Wednesday_Feb_18_2015,Vancouver
#BDD5CA,49.283718,-123.121109,Wednesday_Feb_18_2015,Robson Street
#1B050B,49.287378,-123.112853,Wednesday_Feb_18_2015,Gastown
#E7E4E6,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#0A110C,49.272015,-123.125992,Wednesday_Feb_18_2015,Yaletown
#030102,49.262444,-123.132382,Wednesday_Feb_18_2015,Fairview
#060301,49.263351,-123.125471,Wednesday_Feb_18_2015,Fairview
#030203,49.284695,-123.119241,Wednesday_Feb_18_2015,Coal Harbor
#19241B,49.258366,-123.097796,Wednesday_Feb_18_2015,Main Street
#FAF8FA,49.263381,-123.120366,Wednesday_Feb_18_2015,Fairview
#181A1C,49.290437,-123.121587,Wednesday_Feb_18_2015,Robson Street
#C684B8,49.282070,-123.102540,Wednesday_Feb_18_2015,Gastown
#20161E,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#FEFEFE,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#010301,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#040102,49.272850,-123.069778,Wednesday_Feb_18_2015,Commercial
#0A0E0C,49.282513,-123.120096,Wednesday_Feb_18_2015,Robson Street
#5D0710,49.219269,-123.128494,Wednesday_Feb_18_2015,Oakridge
#020201,49.289967,-123.132828,Wednesday_Feb_18_2015,Robson Street
#1C1112,49.282070,-123.102540,Wednesday_Feb_18_2015,Gastown
#0D040A,49.266667,-123.166667,Wednesday_Feb_18_2015,Kitsilano
#131514,49.279270,-123.129776,Wednesday_Feb_18_2015,Yaletown
#8E2C59,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#E2C8E0,49.280404,-123.121227,Wednesday_Feb_18_2015,Yaletown
#1C0C0C,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#E3AACE,49.262405,-123.074268,Wednesday_Feb_18_2015,Commercial
#ED9FCC,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#0D0E08,49.280704,-123.117167,Wednesday_Feb_18_2015,Yaletown
#020101,49.280704,-123.117167,Wednesday_Feb_18_2015,Yaletown
#040101,49.289733,-123.144319,Wednesday_Feb_18_2015,West End
#8B9284,49.273353,-123.103411,Wednesday_Feb_18_2015,False Creek
#030503,49.279617,-123.101364,Wednesday_Feb_18_2015,Chinatown
#010000,49.281213,-123.132479,Wednesday_Feb_18_2015,West End
#F7F6F9,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#020504,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#030404,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#040201,49.283336,-123.109054,Wednesday_Feb_18_2015,Gastown
#020303,49.280404,-123.121227,Wednesday_Feb_18_2015,Yaletown
#030401,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#020202,49.289583,-123.117568,Wednesday_Feb_18_2015,Coal Harbor
#211719,49.267151,-123.069663,Wednesday_Feb_18_2015,Commercial
#0D0103,49.269531,-123.138962,Wednesday_Feb_18_2015,Granville Island
#140F10,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#050101,49.282556,-123.107694,Wednesday_Feb_18_2015,Gastown
#D7E4D8,49.273722,-123.097917,Wednesday_Feb_18_2015,Mount Pleasant
#CBC6CC,49.286396,-123.127289,Wednesday_Feb_18_2015,Robson Street
#190E13,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#020202,49.283484,-123.104265,Wednesday_Feb_18_2015,Gastown
#020002,49.260307,-123.096275,Wednesday_Feb_18_2015,Main Street
#372E3F,33.821522,-116.549820,Wednesday_Feb_18_2015,Historic Tennis Club
#060604,49.270747,-123.131534,Wednesday_Feb_18_2015,Granville Island
#020202,49.283051,-123.110077,Wednesday_Feb_18_2015,Gastown
#0F090A,49.263843,-123.117742,Wednesday_Feb_18_2015,Fairview
#010202,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#040003,49.288990,-123.127533,Wednesday_Feb_18_2015,Robson Street
#FCFAFB,49.264557,-123.105057,Wednesday_Feb_18_2015,Mount Pleasant
#741921,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#CCC8CA,49.275723,-123.128128,Wednesday_Feb_18_2015,Yaletown
#140810,49.272451,-123.123960,Wednesday_Feb_18_2015,Yaletown
#030202,49.293286,-123.139987,Wednesday_Feb_18_2015,West End
#050202,49.282589,-123.102959,Wednesday_Feb_18_2015,Gastown
#030504,49.272451,-123.123960,Wednesday_Feb_18_2015,Yaletown
#120906,49.282589,-123.102959,Wednesday_Feb_18_2015,Gastown
#120208,49.287334,-123.128918,Wednesday_Feb_18_2015,Robson Street
#9F6D8A,49.279530,-123.106312,Wednesday_Feb_18_2015,Gastown
#6EDC9A,49.271369,-123.139463,Wednesday_Feb_18_2015,Granville Island
#020101,49.292648,-123.128988,Wednesday_Feb_18_2015,Coal Harbor
#010201,49.282698,-123.128576,Wednesday_Feb_18_2015,Robson Street
#B47294,49.280552,-123.101929,Wednesday_Feb_18_2015,Chinatown
#090A0A,49.285452,-123.112100,Wednesday_Feb_18_2015,Gastown
#0A1109,49.277313,-123.116135,Wednesday_Feb_18_2015,Yaletown
#FEFEFE,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#030101,49.271751,-123.106186,Wednesday_Feb_18_2015,False Creek
#090906,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#8C7491,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#020101,49.280563,-123.109177,Wednesday_Feb_18_2015,Gastown
#0A0509,49.279422,-123.098447,Wednesday_Feb_18_2015,Chinatown
#0E0206,49.284153,-123.097755,Wednesday_Feb_18_2015,Chinatown
#E5DEDB,49.282324,-123.104399,Wednesday_Feb_18_2015,Gastown
#7D6C78,49.266762,-123.105797,Wednesday_Feb_18_2015,False Creek
#21241E,49.279551,-123.103416,Wednesday_Feb_18_2015,Chinatown
#CBC6E6,49.280414,-123.126281,Wednesday_Feb_18_2015,Yaletown
#E4DFE3,49.267021,-123.113693,Wednesday_Feb_18_2015,False Creek
#5D9884,49.286057,-123.125267,Wednesday_Feb_18_2015,Robson Street
#070304,49.279259,-123.101677,Wednesday_Feb_18_2015,Chinatown
#110C0C,49.284170,-123.114225,Wednesday_Feb_18_2015,Gastown
#070F08,49.271856,-123.135008,Wednesday_Feb_18_2015,Granville Island
#0A0A04,49.277261,-123.125071,Wednesday_Feb_18_2015,Yaletown
#8E7896,49.286477,-123.118190,Wednesday_Feb_18_2015,Coal Harbor
#DDE0EC,49.269400,-123.123800,Wednesday_Feb_18_2015,False Creek
#1D0B11,49.254456,-123.080432,Wednesday_Feb_18_2015,Kensington-Cedar Cottage
#050404,49.274712,-123.069939,Wednesday_Feb_18_2015,Commercial
#CD55AC,49.275960,-123.121640,Wednesday_Feb_18_2015,Yaletown
#030806,49.225875,-123.116311,Wednesday_Feb_18_2015,Oakridge
#050E11,49.304062,-123.156487,Wednesday_Feb_18_2015,Stanley Park
#050805,49.283108,-123.118874,Wednesday_Feb_18_2015,Chinatown
#050305,49.262909,-123.115303,Wednesday_Feb_18_2015,Fairview
#5C9472,49.293286,-123.139987,Wednesday_Feb_18_2015,West End
#050203,49.280563,-123.109177,Wednesday_Feb_18_2015,Gastown
#D0E7DA,49.284311,-123.143344,Wednesday_Feb_18_2015,West End
#948791,49.270931,-123.115402,Wednesday_Feb_18_2015,False Creek
#010101,49.289923,-123.126048,Wednesday_Feb_18_2015,Robson Street
#FEFFFF,49.290437,-123.121587,Wednesday_Feb_18_2015,Robson Street
